Time (GMT),Time,Latitude,Longitude,RPM,TPS,Brake,Fuel Flow Rate,Engine Load,Rail Pressure,MAP,Baro,Speed,ECT,IAT,MAF,BAT Volt,EGR
235944,23:59:44,,,0ca0,0,1,81,4e,0ba4,59,57,0,6e,56,02a8,31c1,68
235944,23:59:44,,,0ca8,0,1,82,50,0b90,5a,57,0,6e,56,02a8,31c1,68
235945,23:59:45,,,0cbc,0,1,72,50,0b90,5a,57,0,6f,57,289,3122,63
235945,23:59:45,,,0.00E+00,0,1,106,7c,0.00E+00,5a,57,0,6f,57,289,3122,63
235946,23:59:46,,,0d9c,0,1,011b,7c,0.00E+00,5a,57,0,6f,57,02ea,319f,44
235946,23:59:46,,,0.00E+00,0,1,010e,81,0.00E+00,5a,57,1,6f,57,02ea,319f,44
235947,23:59:47,,,0.00E+00,0,5,111,81,0.00E+00,5a,57,1,6f,58,02ec,32c3,36
235947,23:59:47,,,0e4c,0,5,010a,7e,0eec,5b,57,2,6f,58,02ec,32c3,36
235948,23:59:48,,,0e4c,0,5,101,7e,0eec,5b,57,2,6f,58,305,344f,35
235948,23:59:48,,,0.00E+00,0,5,105,7e,0f14,5b,57,3,6f,58,305,344f,35
235949,23:59:49,,,0.00E+00,0,5,010c,7e,0f14,5b,57,3,6f,59,2.00E+08,3218,38
235949,23:59:49,,,0.00E+00,0,5,114,83,0.00E+00,5b,57,3,6f,59,2.00E+08,3218,38
235950,23:59:50,,,0e3c,0,5,112,83,0.00E+00,5b,57,3,6f,58,02fd,3078,39
235950,23:59:50,,,0.00E+00,0,5,011e,81,0f00,5b,57,3,6f,58,200,3000,39
235951,23:59:51,,,0f68,0,5,108,81,0f00,5b,57,3,6e,59,300,2f00,3a
235951,23:59:51,,,0.00E+00,0,5,00fb,75,0f00,5b,57,2,6e,59,300,2f00,3a
110526,11:05:26,,,0.00E+00,0,5,00f3,75,0f00,5b,57,2,6e,58,300,3100,37
110526,11:05:26,,,0.00E+00,0,5,00eb,70,0d00,5b,57,2,6e,58,300,3100,37
110527,11:05:27,,,0.00E+00,0,5,00da,70,0d00,5b,57,2,6e,58,300,3500,34
110527,11:05:27,,,0e0c,0,5,00da,6c,0.00E+00,5b,57,1,6e,58,300,3500,34
110528,11:05:28,,,0.00E+00,0,5,00d8,6c,0.00E+00,5b,57,1,6d,58,300,3600,34
110528,11:05:28,,,0.00E+00,0,1,00d2,66,0.00E+00,5b,57,0,6d,58,300,3600,34
110529,11:05:29,,,0dec,0,1,103,66,0.00E+00,5b,57,0,6d,58,200,3500,33
110529,11:05:29,,,0dbc,0,1,010f,86,0.00E+00,5b,57,1,6d,58,200,3500,33
110530,11:05:30,,,0.00E+00,0,1,119,86,0.00E+00,5b,57,1,6d,58,200,3500,33
110530,11:05:30,,,0.00E+00,0,1,131,92,0.00E+00,5c,57,3,6d,58,200,3500,33
110531,11:05:31,,,0.00E+00,0,1,125,92,0.00E+00,5c,57,3,6d,58,200,3600,33
110531,11:05:31,,,0dfc,0,5,128,8f,0f50,5c,57,5,6d,58,02ee,3696,33
110532,11:05:32,,,0.00E+00,0,5,126,8f,0f50,5c,57,5,6d,58,304,368c,33
110532,11:05:32,,,0f3c,0,5,010c,73,0f64,5c,57,5,6d,58,304,368c,33
110533,11:05:33,,,0.00E+00,0,5,00ef,73,0f64,5c,57,5,6d,57,307,368d,33
