Time (GMT),Time,Latitude,Longitude,RPM,TPS,Brake,Fuel Flow Rate,Engine Load,Rail Pressure,MAP,Baro,Speed,ECT,IAT,MAF,BAT Volt,EGR
235944,23:59:44,,,1950,6,2,143,2b,125c,64,57,0b,79,5b,05ad,369d,46
235944,23:59:44,,,1a04,40,2,139,51,1298,64,57,0b,79,5b,05ad,369d,46
235945,23:59:45,,,1ad8,34,2,276,51,1298,64,57,0b,79,5a,07d4,36f1,34
235945,23:59:45,,,1fa8,0,1,323,62,1d4c,74,57,0f,79,5a,07d4,36f1,34
235946,23:59:46,,,1a1c,0,1,002c,62,1d4c,74,57,0f,79,5b,05f3,3695,4e
235946,23:59:46,,,0.00E+00,0,1,23,1c,0f8c,66,57,0d,79,5b,05f3,3695,4e
235947,23:59:47,,,1290,19,2,00f5,1c,0f8c,66,57,0d,79,5a,043a,36c8,4e
235947,23:59:47,,,1178,0,1,160,67,1248,61,57,0e,79,5a,043a,36c8,4e
235948,23:59:48,,,11f4,9,2,138,67,1248,61,57,0e,79,57,045b,36ae,4b
235948,23:59:48,,,12dc,9,2,01a5,5d,1360,61,57,0f,79,57,045b,36ae,4b
235949,23:59:49,,,1314,0,1,00ce,5d,1360,61,57,0f,79,57,467,36db,58
235949,23:59:49,,,135c,9,2,009b,2e,1040,5f,57,0e,79,57,467,36db,58
235950,23:59:50,,,127c,0a,2,00af,2e,1040,5f,57,0e,78,57,441,36b5,57
235950,23:59:50,,,11c4,2,2,105,59,1000,5f,57,0e,78,57,400,3600,57
235951,23:59:51,,,11e0,0b,2,00dd,59,1000,5f,57,0e,78,57,400,3600,56
235951,23:59:51,,,1234,0b,2,112,5d,1100,5f,57,0e,78,57,400,3600,56
235952,23:59:52,,,1294,0a,2,108,5d,1100,5f,57,0e,78,57,400,3600,5f
235952,23:59:52,,,12d0,0f,2,00ef,4b,1100,5f,57,0f,78,57,400,3600,5f
235953,23:59:53,,,1364,22,2,117,4b,1100,5f,57,0f,78,57,400,3600,50
235953,23:59:53,,,1454,23,2,172,68,1500,61,57,10,78,57,400,3600,50
235954,23:59:54,,,15c4,2a,2,01dd,68,1500,61,57,10,78,57,500,3700,46
235954,23:59:54,,,178c,17,2,01af,5b,1600,65,57,13,78,57,500,3700,46
235955,23:59:55,,,1814,0,2,014b,5b,1600,65,57,13,78,58,500,3700,57
235955,23:59:55,,,1770,22,2,78,1b,1100,63,57,13,78,58,500,3700,57
235956,23:59:56,,,17e8,50,2,015a,1b,1100,63,57,13,78,58,600,3700,33
235956,23:59:56,,,1970,32,2,254,6e,1a00,6a,57,15,78,58,600,3700,33
235957,23:59:57,,,1b40,1a,2,288,6e,1a00,6a,57,15,78,58,700,3700,43
235957,23:59:57,,,1ca8,0e,2,191,3e,170c,70,57,15,78,58,793,3713,43
235958,23:59:58,,,1cf8,28,2,56,3e,170c,70,57,15,78,59,732,371b,33
235958,23:59:58,,,1d10,38,2,015f,3b,17c0,6b,57,17,78,59,732,371b,33
235959,23:59:59,,,1d18,22,2,214,3b,17c0,6b,57,17,78,59,084d,372e,3b
235959,23:59:59,,,1ee8,1b,2,233,4a,1bf8,75,57,19,78,59,084d,372e,3b
0,00:00:00,,,200c,1b,2,01fe,4a,1bf8,75,57,19,78,58,985,3738,44
0,00:00:00,,,2100,28,2,235,4b,1e64,7b,57,1b,78,58,985,3738,44
1,00:00:01,,,2258,23,2,02b0,4b,1e64,7b,57,1b,78,59,0ad4,373f,55
1,00:00:01,,,235c,15,2,024b,40,1b08,81,57,1c,78,59,0ad4,373f,55
2,00:00:02,,,2404,16,2,1e07,40,1b08,81,57,1c,78,5a,0b1b,3739,70
2,00:00:02,,,2420,0,2,01b1,28,16a8,7e,57,1c,78,5a,0b1b,3739,70
3,00:00:03,,,2340,0,1,00b0,28,16a8,7e,57,1c,78,5a,985,3730,6e
3,00:00:03,,,22ac,0,1,58,0b,12fc,70,57,1b,78,5a,985,3730,6e
4,00:00:04,,,2188,23,2,004d,0b,12fc,70,57,1b,78,58,08ad,3724,66
4,00:00:04,,,21b8,27,2,183,3c,1a00,72,57,1b,78,58,800,3700,66
5,00:00:05,,,2214,0,1,225,3c,1a00,72,57,1b,78,57,900,3700,70
5,00:00:05,,,1c40,0,1,007b,14,1200,6f,57,1c,78,57,900,3700,70
6,00:00:06,,,1ad0,4f,2,03bd,14,1200,6f,57,1c,78,56,700,3600,63
6,00:00:06,,,18c4,49,2,029a,90,2100,75,57,1f,78,56,700,3600,63
7,00:00:07,,,19d8,4a,2,02f6,90,2100,75,57,1f,78,55,700,3700,5c
7,00:00:07,,,1b14,49,2,322,86,2400,7a,57,23,78,55,700,3700,5c
131738,13:17:38,,,1c98,64,2,377,86,2400,7a,57,23,78,55,900,3700,57
131738,13:17:38,,,1de8,49,2,394,7f,2600,85,57,26,78,55,900,3700,57
131739,13:17:39,,,1ed4,0,1,304,7f,2600,85,57,26,78,55,800,3700,68
131739,13:17:39,,,1538,0,5,0,0,1b00,73,57,25,78,55,800,3700,68
131740,13:17:40,,,0d64,0,5,70,0,1b00,73,57,25,78,56,200,3600,6c
131740,13:17:40,,,0.00E+00,0,5,006c,3b,0d00,61,57,22,78,56,200,3600,6c
131741,13:17:41,,,0ddc,0,5,76,3b,0d00,61,57,22,78,50,200,3600,6e
131741,13:17:41,,,0de4,0,5,74,42,0b2c,5d,57,1c,78,50,02c6,36c5,6e
131742,13:17:42,,,0df8,0,5,79,42,0b2c,5d,57,1c,78,51,02b5,36bc,6c
131742,13:17:42,,,0df4,0,5,007d,41,0adc,5c,57,16,78,51,02b5,36bc,6c
131743,13:17:43,,,0.00E+00,0,5,007d,41,0adc,5c,57,16,78,51,02ca,36e1,6b
131743,13:17:43,,,0.00E+00,0,5,80,41,0bb8,5c,57,13,78,51,02ca,36e1,6b
131744,13:17:44,,,0.00E+00,0,5,80,41,0bb8,5c,57,13,78,51,02be,36e2,69
131744,13:17:44,,,0.00E+00,0,5,81,43,0b68,5c,57,12,78,51,02be,36e2,69
131745,13:17:45,,,0e0c,0,5,83,43,0b68,5c,57,12,79,51,02cf,36df,69
131745,13:17:45,,,0.00E+00,0,5,84,45,0bb8,5c,57,11,79,51,02cf,36df,69
131746,13:17:46,,,0e0c,11,2,80,45,0bb8,5c,57,11,79,52,393,371c,32
131746,13:17:46,,,19dc,26,2,2e08,85,1e01,61,57,13,79,52,393,371c,32
131747,13:17:47,,,196c,28,2,218,85,1e01,61,57,13,79,54,06f6,372b,37
131747,13:17:47,,,1a5c,0,1,170,38,166c,6c,57,16,79,54,06f6,372b,37
131748,13:17:48,,,1c88,3d,2,347,38,166c,6c,57,16,79,55,087d,3736,32
131748,13:17:48,,,1f40,4d,2,361,72,2500,7d,57,1a,79,55,800,3700,32
131749,13:17:49,,,2194,4c,2,03bd,72,2500,7d,57,1a,79,56,0a00,3700,42
131749,13:17:49,,,1e48,0,1,00b3,17,1a00,7a,57,1c,79,56,0a00,3700,42
131750,13:17:50,,,19c0,4f,2,293,17,1a00,7a,57,1c,79,57,600,3700,35
131750,13:17:50,,,17e0,4f,2,295,8d,2000,75,57,1f,79,57,600,3700,35
131751,13:17:51,,,1970,47,2,031b,8d,2000,75,57,1f,79,54,700,3700,32
131751,13:17:51,,,1ae0,3a,2,02f4,80,2300,7a,57,22,79,54,700,3700,32
131752,13:17:52,,,1bf4,32,2,02d0,80,2300,7a,57,22,79,54,800,3700,34
131752,13:17:52,,,1d40,30,2,02d6,69,2200,7f,57,25,79,54,800,3700,34
131753,13:17:53,,,1e1c,24,2,02c7,69,2200,7f,57,25,79,54,900,3700,42
131753,13:17:53,,,1ef4,1d,2,243,4c,1b00,81,57,27,79,54,900,3700,42
131754,13:17:54,,,1f7c,12,2,01db,4c,1b00,81,57,27,79,55,900,3700,5f
131754,13:17:54,,,1fc8,0c,2,183,32,1700,7b,57,27,79,55,900,3700,5f
131755,13:17:55,,,2018,0d,2,015d,32,1700,7b,57,27,79,54,900,3700,73
131755,13:17:55,,,2038,10,2,180,34,17fc,77,57,28,79,54,091d,372f,73
131756,13:17:56,,,209c,11,2,018b,34,17fc,77,57,28,79,54,07cf,3739,79
131756,13:17:56,,,208c,4,1,136,25,1554,70,57,27,79,54,07cf,3739,79
131757,13:17:57,,,205c,0,1,0,25,1554,70,57,27,79,53,07bc,3738,6d
131757,13:17:57,,,1f7c,0,1,0,0,12e8,68,57,26,79,53,07bc,3738,6d
131758,13:17:58,,,1e74,0,5,0,0,12e8,68,57,26,79,52,744,3705,6a
131758,13:17:58,,,1d94,0,5,0,0,125c,66,57,24,79,52,744,3705,6a
131759,13:17:59,,,1cc8,0,5,0,0,125c,66,57,24,79,52,702,3704,5
131759,13:17:59,,,1bd8,0,5,0,0,11bc,65,57,22,79,52,702,3704,5
131800,13:18:00,,,1b2c,0,1,0,0,11bc,65,57,22,79,52,06b0,3739,5
131800,13:18:00,,,1ac4,0,1,0,0,11a8,64,57,20,79,52,06b0,3739,5
131801,13:18:01,,,1a2c,0,5,0,0,11a8,64,57,20,79,52,661,3702,5
131801,13:18:01,,,19a8,0,5,0,0,116c,63,57,1e,79,52,661,3702,5
131802,13:18:02,,,1898,0,5,0,0,116c,63,57,1e,79,51,5e07,370f,34
131802,13:18:02,,,16f8,0,5,0,0,1000,61,57,1b,79,51,500,3700,34
131803,13:18:03,,,15ec,0,5,0,0,1000,61,57,1b,79,51,500,3700,3c
131803,13:18:03,,,1514,0,5,0,0,1000,60,57,19,79,51,500,3700,3c
131804,13:18:04,,,142c,0,5,0,0,1000,60,57,19,79,50,400,3700,5
131804,13:18:04,,,135c,0,5,0,0,0f00,5f,57,17,79,50,400,3700,5
131805,13:18:05,,,12d0,0,5,0,0,0f00,5f,57,17,79,50,400,3700,32
131805,13:18:05,,,1254,0,1,0,0,0f00,5e,57,16,79,50,400,3700,32
131806,13:18:06,,,11dc,0,1,0,0,0f00,5e,57,16,79,50,300,3700,32
131806,13:18:06,,,1140,0,5,0,2,0.00E+00,5d,57,15,79,50,300,3700,32
131807,13:18:07,,,10c0,0,5,0,2,0.00E+00,5d,57,15,79,4f,300,3600,33
131807,13:18:07,,,0fec,0,5,2,8,0d00,5d,57,12,79,4f,300,3600,33
131808,13:18:08,,,0.00E+00,0,5,56,8,0d00,5d,57,12,79,50,200,3600,4a
131808,13:18:08,,,0da0,0,5,76,4c,0b00,5c,57,0c,79,50,200,3600,4a
131809,13:18:09,,,0dc8,0,5,83,4c,0b00,5c,57,0c,79,4f,300,3600,70
131809,13:18:09,,,0.00E+00,0,5,89,46,0c08,5c,57,6,79,4f,304,36b6,70
131810,13:18:10,,,0df8,0,5,89,46,0c08,5c,57,6,79,50,029f,36c5,6b
131810,13:18:10,,,0.00E+00,0,5,87,45,0bcc,5c,57,3,79,50,029f,36c5,6b
131811,13:18:11,,,0.00E+00,0,5,87,45,0bcc,5c,57,3,79,4f,287,36db,6b
131811,13:18:11,,,0.00E+00,0,1,85,43,0ba4,5b,57,3,79,4f,287,36db,6b
131812,13:18:12,,,1420,40,2,01c3,43,0ba4,5b,57,3,79,50,500,371c,32
131812,13:18:12,,,1670,1f,2,01f5,6f,14c8,62,57,9,79,50,500,371c,32
131813,13:18:13,,,13e8,0,1,01a4,6f,14c8,62,57,9,79,53,050c,370e,47
