Time (GMT),Time,Latitude,Longitude,RPM,TPS,Brake,Fuel Flow Rate,Engine Load,Rail Pressure,MAP,Baro,Speed,ECT,IAT,MAF,BAT Volt,EGR
235944,23:59:44,,,0c70,0,1,007d,4f,0a64,5b,58,0,72,51,204,3307,70
235944,23:59:44,,,0ce0,0,1,006a,40,0af0,5b,58,0,72,51,204,3307,70
235945,23:59:45,,,0c08,0,1,00d5,40,0af0,5b,58,0,72,51,02ca,3280,6f
235945,23:59:45,,,0d5c,0,1,00ec,73,0d98,5c,58,0,72,51,02ca,3280,6f
235946,23:59:46,,,0.00E+00,0,1,00fe,73,0d98,5c,58,0,72,53,02db,36c6,5e
235946,23:59:46,,,0.00E+00,0,1,107,7f,0e9c,5c,58,1,72,53,02db,36c6,5e
235947,23:59:47,,,0.00E+00,0,1,105,7f,0e9c,5c,58,1,72,54,307,373f,63
235947,23:59:47,,,0.00E+00,0,5,00f9,75,0.00E+00,5d,58,3,72,54,307,373f,63
235948,23:59:48,,,0.00E+00,0,5,00ee,75,0.00E+00,5d,58,3,73,55,02f1,36c6,6d
235948,23:59:48,,,0.00E+00,0,5,0.00E+00,70,0d98,5d,58,2,73,55,02f1,36c6,6d
235949,23:59:49,,,0e4c,0,1,00dd,70,0d98,5d,58,2,72,55,02ec,3240,71
235949,23:59:49,,,0cf8,0,1,147,ad,0dac,5d,58,1,72,55,02ec,3240,71
235950,23:59:50,,,0f90,0,1,133,ad,0dac,5d,58,1,72,55,382,361b,6a
235950,23:59:50,,,0ef0,0,5,00f5,6b,1100,5d,58,2,72,55,300,3600,6a
235951,23:59:51,,,0dcc,0,5,136,6b,1100,5d,58,2,72,55,300,3500,65
235951,23:59:51,,,0efc,0,5,107,73,0f00,5d,58,4,72,55,300,3500,65
235952,23:59:52,,,0.00E+00,0,5,00f8,73,0f00,5d,58,4,71,55,300,3600,6c
235952,23:59:52,,,0f14,0,5,00da,61,0.00E+00,5d,58,4,71,55,300,3600,6c
235953,23:59:53,,,0ea8,0,5,00c6,61,0.00E+00,5d,58,4,71,55,200,3600,6d
94702,09:47:02,,,0e8c,0,5,00b3,54,0d00,5c,58,2,71,55,200,3600,6d
94703,09:47:03,,,0e4c,0,5,00b4,54,0d00,5c,58,2,71,55,200,3600,6d
94703,09:47:03,,,0.00E+00,0,5,00b0,59,0d00,5c,58,0,71,55,200,3600,6d
94704,09:47:04,,,0df4,0,1,00b7,59,0d00,5c,58,0,70,55,200,3500,6b
94704,09:47:04,,,0dc4,0,1,00d9,6d,0d00,5c,58,0,70,55,200,3500,6b
94705,09:47:05,,,0.00E+00,0,1,010f,6d,0d00,5c,58,0,70,55,200,3300,65
94705,09:47:05,,,0d8c,0,1,011b,94,0d00,5c,58,3,70,55,200,3300,65
94706,09:47:06,,,0dac,0,1,132,94,0d00,5c,58,3,70,55,200,3600,50
94706,09:47:06,,,0e4c,0,1,142,9a,0fa0,5d,58,7,70,55,02ec,3641,50
94707,09:47:07,,,1034,0,1,00f1,9a,0fa0,5d,58,7,70,55,039a,3717,64
94707,09:47:07,,,11f8,0a,2,122,76,1180,5d,58,8,70,55,039a,3717,64
94708,09:47:08,,,12dc,0e,2,011d,76,1180,5d,58,8,70,56,456,371b,65
94708,09:47:08,,,1324,16,2,142,61,134c,5f,58,9,70,56,456,371b,65
94709,09:47:09,,,13dc,18,2,150,61,134c,5f,58,9,70,56,476,3729,6d
94709,09:47:09,,,14b8,11,2,176,62,1554,60,58,9,70,56,476,3729,6d
94710,09:47:10,,,1.50E+09,10,2,017f,62,1554,60,58,9,70,56,048c,3721,75
94710,09:47:10,,,1640,8,2,136,4a,1478,60,58,0a,70,56,048c,3721,75
94711,09:47:11,,,1508,8,2,00d7,4a,1478,60,58,0a,70,56,03ab,373b,77
94711,09:47:11,,,13c0,8,2,00c3,39,11d0,5e,58,8,70,56,03ab,373b,77
94712,09:47:12,,,1330,11,2,00fa,39,11d0,5e,58,8,70,55,3.00E+05,371f,65
94712,09:47:12,,,1344,20,2,118,5b,1.20E+09,5e,58,8,70,55,3.00E+05,371f,65
94713,09:47:13,,,13b4,22,2,016e,5b,1.20E+09,5e,58,8,70,55,04d4,3726,5b
94713,09:47:13,,,1650,22,2,01ec,74,1800,61,58,0b,70,55,400,3700,5b
94714,09:47:14,,,195c,21,2,229,74,1800,61,58,0b,70,57,600,3700,63
94714,09:47:14,,,1bcc,15,2,226,59,1b00,69,58,0d,70,57,600,3700,63
94715,09:47:15,,,1d34,12,2,01f6,59,1b00,69,58,0d,70,58,700,3700,71
94715,09:47:15,,,1e3c,13,2,1.00E+04,45,1900,6c,58,0e,70,58,700,3700,71
94716,09:47:16,,,1ee0,13,2,1.00E+01,45,1900,6c,58,0e,70,58,600,3700,73
94716,09:47:16,,,1f50,11,2,01d5,3f,1900,6b,58,0e,70,58,600,3700,73
94717,09:47:17,,,1f5c,10,2,01c8,3f,1900,6b,58,0e,70,58,600,3700,72
94717,09:47:17,,,2008,12,2,01d0,3d,1900,69,58,0e,70,58,600,3700,72
94718,09:47:18,,,207c,21,2,201,3d,1900,69,58,0e,70,57,800,3700,6d
