Time (GMT),Time,Latitude,Longitude,RPM,TPS,Brake,Fuel Flow Rate,Engine Load,Rail Pressure,MAP,Baro,Speed,ECT,IAT,MAF,BAT Volt,EGR,,
52153,05:21:53,,,0fac,0,1,114,94,1108,59,57,1,41,42,038b,360f,5d,,
52154,05:21:54,,,0ef4,0,1,101,71,0f8c,59,57,1,41,42,038b,360f,5d,,
52154,05:21:54,,,0ebc,0,1,00f8,71,0f8c,59,57,1,42,42,030b,31d0,6a,,
52155,05:21:55,,,0ea8,0,5,00f9,79,0f64,59,57,1,42,42,030b,31d0,6a,,
52155,05:21:55,,,0.00E+00,0,5,00ef,79,0f64,59,57,1,42,42,310,3689,5a,,
52156,05:21:56,,,0.00E+00,0,5,00ec,70,0d98,59,57,0,42,42,310,3689,5a,,
52156,05:21:56,,,0e5c,0,5,00ec,70,0d98,59,57,0,42,42,030b,34c5,5e,,
52157,05:21:57,,,0dd4,0,5,011e,8f,0de8,59,57,0,42,42,030b,34c5,5e,,
52157,05:21:57,,,0d64,0,1,012b,8f,0de8,59,57,0,42,42,311,34b0,52,,
52158,05:21:58,,,0dec,0,1,013e,9a,1040,59,57,0,42,42,311,34b0,52,,
52158,05:21:58,,,0e5c,0,1,134,9a,1040,59,57,0,42,42,330,3636,50,,
52159,05:21:59,,,0.00E+00,0,1,131,8b,1300,59,57,2,42,42,300,3600,50,,
52159,05:21:59,,,0dec,0,1,175,8b,1300,59,57,2,42,42,300,3400,43,,
52200,05:22:00,,,0ee4,0,5,015a,94,1100,59,57,5,42,42,300,3400,43,,
52200,05:22:00,,,0dc8,0,5,015c,94,1100,59,57,5,42,42,300,3500,34,,
52201,05:22:01,,,0f54,0,1,164,90,1100,59,57,7,42,42,300,3500,34,,
52201,05:22:01,,,1064,0,1,00fb,90,1100,59,57,7,43,42,300,3700,48,,
52202,05:22:02,,,1000,0,2,00d9,58,0f00,59,57,8,43,42,300,3700,48,,
52202,05:22:02,,,1e01,0f,2,028e,58,0f00,59,57,8,43,42,400,3700,32,,
52203,05:22:03,,,1500,40,2,1e09,79,1800,59,57,0a,43,42,400,3700,32,,
52203,05:22:03,,,187c,39,2,02a5,79,1800,59,57,0a,43,43,600,3700,32,,
52204,05:22:04,,,1cfc,2c,2,362,81,2000,62,57,0e,43,43,600,3700,32,,
52204,05:22:04,,,1e04,0,1,171,81,2000,62,57,0e,43,44,700,3700,41,,
52205,05:22:05,,,15d4,0,1,00bf,2f,1200,61,57,0f,43,44,700,3700,41,,
52205,05:22:05,,,1328,0,5,133,2f,1200,61,57,0f,43,45,400,3700,66,,
52206,05:22:06,,,127c,0,5,112,59,1180,5b,57,0d,43,45,044b,3782,66,,
52206,05:22:06,,,1104,0,5,00fd,59,1180,5b,57,0d,43,42,031d,3757,56,,
52207,05:22:07,,,0fa0,0,5,0.00E+00,60,0fdc,5a,57,9,43,42,031d,3757,56,,
52207,05:22:07,,,0ecc,0,5,00df,60,0fdc,5a,57,9,44,41,329,3734,5e,,
52208,05:22:08,,,0.00E+00,0,5,00da,66,0.00E+00,5a,57,7,44,41,329,3734,5e,,
52208,05:22:08,,,0.00E+00,0,5,00d8,66,0.00E+00,5a,57,7,44,41,2e05,3744,5d,,
52209,05:22:09,,,0e1c,0,5,00d8,69,0.00E+00,5a,57,7,44,41,2e05,3744,5d,,
52209,05:22:09,,,0e2c,0,5,00d7,69,0.00E+00,5a,57,7,44,41,02fd,3757,5c,,
52210,05:22:10,,,0e6c,0,1,00da,67,0e4c,5a,57,7,44,41,02fd,3757,5c,,
52210,05:22:10,,,0.00E+00,0,1,00d7,67,0e4c,5a,57,7,44,41,2e02,3773,5f,,
52211,05:22:11,,,0.00E+00,0,1,00d7,67,0.00E+00,59,57,7,44,41,2e02,3773,5f,,
52211,05:22:11,,,0ef0,0,1,00cd,67,0.00E+00,59,57,7,44,41,02fb,376f,5d,,
52212,05:22:12,,,0d88,0,1,00cf,69,0d34,5a,57,7,44,41,02fb,376f,5d,,
52212,05:22:12,,,0.00E+00,0,1,00d8,69,0d34,5a,57,7,44,41,304,375d,5a,,
52213,05:22:13,,,0.00E+00,0,1,00d7,69,0d00,59,57,7,44,41,300,3700,5a,,
52213,05:22:13,,,0.00E+00,0,1,00d6,69,0d00,59,57,7,45,41,200,3700,60,,
52214,05:22:14,,,0de8,0,5,00d8,6b,0d00,59,57,7,45,41,200,3700,60,,
52214,05:22:14,,,0.00E+00,0,5,00d8,6b,0d00,59,57,7,45,41,200,3700,5d,,
52215,05:22:15,,,0e5c,0,5,00da,68,0d00,5a,57,5,45,41,200,3700,5d,,
52215,05:22:15,,,0.00E+00,0,5,00d9,68,0d00,5a,57,5,45,41,200,3700,5d,,
52216,05:22:16,,,0.00E+00,0,5,00d8,69,0.00E+00,59,57,3,45,41,200,3700,5d,,
52216,05:22:16,,,0.00E+00,0,5,00da,69,0.00E+00,59,57,3,45,41,200,3700,5e,,
52217,05:22:17,,,0.00E+00,0,1,00d9,67,0d00,59,57,3,45,41,200,3700,5e,,
52217,05:22:17,,,0e3c,0,1,00d5,67,0d00,59,57,3,45,42,200,3700,5e,,
52218,05:22:18,,,0.00E+00,0,1,00d2,67,0.00E+00,59,57,4,45,42,200,3700,5e,,
52218,05:22:18,,,0e5c,0,1,00db,67,0.00E+00,59,57,4,45,41,200,3700,5f,,
52219,05:22:19,,,0.00E+00,0,5,00d5,68,0.00E+00,5a,57,4,45,41,200,3700,5f,,
52219,05:22:19,,,0.00E+00,0,5,00d7,68,0.00E+00,5a,57,4,46,41,200,3700,5f,,
52220,05:22:20,,,0.00E+00,0,5,00d7,68,0dd4,59,57,3,46,41,02f8,3742,5f,,
52220,05:22:20,,,0.00E+00,0,1,00d8,68,0dd4,59,57,3,46,41,02dc,3778,5e,,
52221,05:22:21,,,0.00E+00,0,1,00d4,64,0.00E+00,59,57,3,46,41,02dc,3778,5e,,
52221,05:22:21,,,0.00E+00,0,1,00d4,64,0.00E+00,59,57,3,46,41,02d7,3716,5d,,
52222,05:22:22,,,0.00E+00,0,5,00d9,69,0.00E+00,5a,57,4,46,41,02d7,3716,5d,,
52222,05:22:22,,,0e7c,0,1,00d4,69,0.00E+00,5a,57,4,46,42,02f4,378a,61,,
52223,05:22:23,,,0e2c,0,5,00d1,67,0.00E+00,59,57,4,46,42,02f4,378a,61,,
52223,05:22:23,,,0.00E+00,0,5,00d7,67,0.00E+00,59,57,4,46,42,02f4,375d,5d,,
52224,05:22:24,,,0.00E+00,0,1,00d4,63,0de8,59,57,4,46,42,02f4,375d,5d,,
52224,05:22:24,,,0e2c,6,2,129,63,0de8,59,57,4,46,42,03ba,378b,49,,
52225,05:22:25,,,145c,10,2,01cc,78,1478,59,57,6,46,42,03ba,378b,49,,
52225,05:22:25,,,1418,1,2,181,78,1478,59,57,6,46,42,478,379c,64,,
52226,05:22:26,,,1384,0,1,018e,70,1504,5a,57,8,46,42,478,379c,64,,
52226,05:22:26,,,135c,0,1,153,70,1504,5a,57,8,46,44,039f,3741,60,,
52227,05:22:27,,,1354,0,5,010b,4a,1200,59,57,8,46,44,300,3700,60,,
52227,05:22:27,,,11b0,0,5,0.00E+00,4a,1200,59,57,8,46,42,300,3700,5b,,
52228,05:22:28,,,1068,0,5,00d0,50,1000,59,57,7,46,42,300,3700,5b,,
52228,05:22:28,,,0f38,0,1,00b8,50,1000,59,57,7,47,41,300,3700,5e,,
52229,05:22:29,,,0.00E+00,0,2,00bb,5a,0d00,59,57,7,47,41,300,3700,5e,,
52229,05:22:29,,,1000,16,2,023b,5a,0d00,59,57,7,47,42,400,3700,38,,
52230,05:22:30,,,141c,0,1,01a9,71,1400,5a,57,9,47,42,400,3700,38,,
52230,05:22:30,,,1480,0,1,00da,71,1400,5a,57,9,47,43,400,3700,55,,
52231,05:22:31,,,12ec,0,1,104,4f,1100,5a,57,8,47,43,400,3700,55,,
52231,05:22:31,,,1214,0,1,00ff,4f,1100,5a,57,8,47,44,300,3700,51,,
52232,05:22:32,,,1378,14,2,023a,a6,1500,5a,57,9,47,44,300,3700,51,,
52232,05:22:32,,,1628,15,2,01c7,a6,1500,5a,57,9,47,42,500,3700,55,,
52233,05:22:33,,,1878,15,2,208,66,1900,5c,57,0b,47,42,500,3700,55,,
52233,05:22:33,,,1a94,13,2,216,66,1900,5c,57,0b,47,45,600,3700,56,,
52234,05:22:34,,,1cc4,0f,2,232,55,1a18,62,57,0c,47,45,06de,3797,56,,
52234,05:22:34,,,1bd8,11,2,00ef,55,1a18,62,57,0c,47,45,073f,37a9,59,,
52235,05:22:35,,,1b98,12,2,285,5d,198c,63,57,0e,47,45,073f,37a9,59,,
52235,05:22:35,,,1f34,19,2,02b7,5d,198c,63,57,0e,48,45,896,37a8,5c,,
52236,05:22:36,,,21e0,24,2,337,63,229c,6c,57,10,48,45,896,37a8,5c,,
52236,05:22:36,,,255c,33,2,03af,63,229c,6c,57,10,48,45,0c35,379e,69,,
52237,05:22:37,,,27d8,0,1,322,52,1e14,80,57,13,48,45,0c35,379e,69,,
52237,05:22:37,,,2130,0,1,010c,52,1e14,80,57,13,48,47,737,378e,60,,
52238,05:22:38,,,19ac,1e,2,1e07,58,1504,65,57,14,48,47,737,378e,60,,
52238,05:22:38,,,1878,22,2,031e,58,1504,65,57,14,48,44,06ad,3785,5b,,
52239,05:22:39,,,1b48,20,2,02c3,75,2058,68,57,16,48,44,06ad,3785,5b,,
52239,05:22:39,,,1cb0,11,2,226,75,2058,68,57,16,48,44,774,378b,5f,,
52240,05:22:40,,,1d9c,20,2,243,55,1c70,68,57,18,48,44,774,378b,5f,,
52240,05:22:40,,,1eb4,21,2,02ba,55,1c70,68,57,18,48,44,08b7,3764,5d,,
52241,05:22:41,,,2004,1e,2,02f7,5f,2100,6f,57,1a,48,44,800,3700,5d,,
52241,05:22:41,,,215c,18,2,2e03,5f,2100,6f,57,1a,49,45,900,3700,64,,
52242,05:22:42,,,225c,19,2,02b9,54,1f00,70,57,1b,49,45,900,3700,64,,
52242,05:22:42,,,231c,19,2,02c4,54,1f00,70,57,1b,49,45,900,3700,66,,
52243,05:22:43,,,23c8,17,2,02b7,51,1f00,70,57,1c,49,45,900,3700,66,,
52243,05:22:43,,,24b0,15,2,289,51,1f00,70,57,1c,49,45,800,3700,64,,
52244,05:22:44,,,24a4,0f,2,276,49,1c00,6d,57,1d,49,45,800,3700,64,,
52244,05:22:44,,,2454,0,1,174,49,1c00,6d,57,1d,49,44,800,3700,5d,,
52245,05:22:45,,,2394,0,1,00f5,21,1300,64,57,1b,49,44,800,3700,5d,,
52245,05:22:45,,,21fc,0,5,009b,21,1300,64,57,1b,4a,44,800,3700,5d,,
52246,05:22:46,,,1fc4,0,5,004a,0d,1200,61,57,18,4a,44,800,3700,5d,,
52246,05:22:46,,,1e00,0,1,12,0d,1200,61,57,18,4a,44,700,3700,5c,,
52247,05:22:47,,,1c58,0,2,0,0,1200,5e,57,15,4a,44,700,3700,5c,,
52247,05:22:47,,,1a84,18,2,008e,0,1200,5e,57,15,4a,44,600,3700,53,,
52248,05:22:48,,,1a44,22,2,177,47,16a8,5e,57,14,4a,44,063f,378b,53,,
52248,05:22:48,,,1ae0,22,2,023d,47,16a8,5e,57,14,4a,43,073a,377d,50,,
52249,05:22:49,,,1c38,1f,2,278,61,1f18,65,57,17,4a,43,073a,377d,50,,
52249,05:22:49,,,1cec,16,2,241,61,1f18,65,57,17,4a,44,080c,378f,5c,,
52250,05:22:50,,,1e08,15,2,234,4e,1b44,68,57,18,4a,44,080c,378f,5c,,
52250,05:22:50,,,1ebc,16,2,234,4e,1b44,68,57,18,4b,44,824,3788,64,,
52251,05:22:51,,,1f58,14,2,022a,49,1ae0,69,57,18,4b,44,824,3788,64,,
52251,05:22:51,,,1e58,6,2,00ef,49,1ae0,69,57,18,4b,44,05fb,3783,64,,
52252,05:22:52,,,1e94,0b,2,120,28,14f0,60,57,18,4b,44,05fb,3783,64,,
52252,05:22:52,,,1e28,0b,2,154,28,14f0,60,57,18,4b,43,05cf,3784,61,,
52253,05:22:53,,,1db4,0a,2,153,32,1630,5e,57,17,4b,43,05cf,3784,61,,
52253,05:22:53,,,1cc0,1,2,110,32,1630,5e,57,17,4b,43,06a4,3761,53,,
52254,05:22:54,,,1cb8,2a,2,180,3a,15cc,5e,57,17,4b,43,06a4,3761,53,,
52254,05:22:54,,,1ce0,2a,2,259,3a,15cc,5e,57,17,4b,43,7e00,3780,51,,
52255,05:22:55,,,1eac,2a,2,02f0,63,1f00,69,57,19,4b,43,700,3700,51,,
52255,05:22:55,,,205c,21,2,031f,63,1f00,69,57,19,4c,44,900,3700,63,,
52256,05:22:56,,,21d0,15,2,025e,4a,1c00,72,57,1b,4c,44,900,3700,63,,
52256,05:22:56,,,222c,0a,2,248,4a,1c00,72,57,1b,4c,45,800,3700,59,,
52257,05:22:57,,,21ec,0,1,157,2d,1400,68,57,1a,4c,45,800,3700,59,,
52257,05:22:57,,,2134,0c,2,00da,2d,1400,68,57,1a,4c,44,600,3700,5e,,
52258,05:22:58,,,2120,0e,2,172,30,1700,62,57,1a,4c,44,600,3700,5e,,
52258,05:22:58,,,210c,0e,2,01af,30,1700,62,57,1a,4c,44,700,3700,62,,
52259,05:22:59,,,2128,0d,2,01c9,3b,1800,62,57,1a,4c,44,700,3700,62,,
52259,05:22:59,,,20d0,0,2,122,3b,1800,62,57,1a,4c,44,700,3700,5a,,
52300,05:23:00,,,1fe0,0,1,00b9,1a,1300,60,57,18,4c,44,700,3700,5a,,
52300,05:23:00,,,1ea4,0,1,60,1a,1300,60,57,18,4c,43,700,3700,58,,
52301,05:23:01,,,1d8c,0,2,35,0a,1200,5e,57,17,4c,43,700,3700,58,,
52301,05:23:01,1257.4187,7738.3065,1cc8,1,2,8,0a,1200,5e,57,17,4c,43,600,3700,61,,
52302,05:23:02,1257.4187,7738.3078,1b44,9,2,003a,0d,120c,5d,57,15,4c,43,06d4,378f,61,,
52302,05:23:02,1257.4188,7738.3098,1a1c,8,2,0.00E+00,0d,120c,5d,57,15,4d,43,568,3786,50,,
52303,05:23:03,1257.419,7738.311,1ac0,27,2,019e,48,1680,5d,57,15,4d,43,568,3786,50,,
52303,05:23:03,1257.4192,7738.313,1bf0,1e,2,238,48,1680,5d,57,15,4d,42,752,3786,57,,
52304,05:23:04,1257.4195,7738.3144,1dc4,1d,2,271,58,1dd8,65,57,18,4d,42,752,3786,57,,
52304,05:23:04,1257.4199,7738.3166,1f7c,1f,2,02b0,58,1dd8,65,57,18,4d,44,091d,378a,58,,
52305,05:23:05,1257.4201,7738.3182,2198,30,2,331,62,238c,71,57,1c,4d,44,091d,378a,58,,
52305,05:23:05,1257.4202,7738.3207,23d8,43,2,03db,62,238c,71,57,1c,4d,44,0c54,37a3,60,,
52306,05:23:06,1257.4203,7738.3225,26ec,26,1,045a,7a,27ec,8a,57,1f,4d,44,0c54,37a3,60,,
52306,05:23:06,1257.4204,7738.3254,224c,0,1,101,7a,27ec,8a,57,1f,4d,46,07f6,3785,61,,
52307,05:23:07,1257.4204,7738.3271,16dc,0,1,004a,3,107c,67,57,20,4d,46,07f6,3785,61,,
52307,05:23:07,1257.4202,7738.3308,14b8,29,2,01f7,3,1000,67,57,20,4d,42,600,3700,37,,
52308,05:23:08,1257.4202,7738.3329,1aac,1d,2,02d9,7f,1400,65,57,21,4d,42,600,3700,37,,
52308,05:23:08,1257.4202,7738.3362,1c08,0,1,28,7f,1400,65,57,21,4e,42,600,3700,3f,,
52309,05:23:09,1257.4201,7738.3382,1a74,0,5,0,1,1100,5f,57,20,4e,42,600,3700,3f,,
52309,05:23:09,1257.42,7738.3413,198c,0,5,0,1,1100,5f,57,20,4e,43,600,3700,47,,
52310,05:23:10,1257.4199,7738.3432,1888,0,5,0,0,1100,5d,57,1d,4e,43,600,3700,47,,
52310,05:23:10,1257.4199,7738.346,1744,0,5,0,0,1100,5d,57,1d,4e,43,500,3700,6c,,
52311,05:23:11,1257.4198,7738.3478,0ce4,0,5,96,4a,0c00,5d,57,1b,4e,43,500,3700,6c,,
52311,05:23:11,1257.4197,7738.3502,0.00E+00,0,5,00b1,4a,0c00,5d,57,1b,4e,3f,200,3700,61,,
52312,05:23:12,1257.4197,7738.3517,0.00E+00,0,5,00af,55,0d00,5a,57,15,4e,3f,200,3700,61,,
52312,05:23:12,1257.4196,7738.3537,0dec,0,5,00af,55,0d00,5a,57,15,4e,40,200,3700,5e,,
52313,05:23:13,1257.4197,7738.3546,0df0,0,5,00b7,55,0d98,5a,57,11,4e,40,262,372d,5e,,
52313,05:23:13,1257.4196,7738.3566,0e3c,0,5,00b3,55,0d98,5a,57,11,4e,3f,291,373c,5b,,
52314,05:23:14,1257.4195,7738.3576,0e1c,0,5,00b3,5a,0d98,5a,57,10,4e,3f,291,373c,5b,,
52314,05:23:14,1257.4192,7738.359,0e4c,0,1,00b3,5a,0d98,5a,57,10,4e,40,02be,376c,5d,,
52315,05:23:15,1257.4191,7738.36,0.00E+00,0,5,00b0,55,0dd4,5a,57,10,4e,40,02be,376c,5d,,
52315,05:23:15,1257.4188,7738.3616,0dec,0,5,00b5,55,0dd4,5a,57,10,4e,40,291,370a,5f,,
52316,05:23:16,1257.4187,7738.3625,0.00E+00,0,5,00b5,59,0d20,5a,57,0f,4e,40,291,370a,5f,,
52316,05:23:16,1257.4185,7738.3639,0.00E+00,0,1,00b5,59,0d20,5a,57,0f,4f,41,295,3786,62,,
52317,05:23:17,1257.4184,7738.3648,0.00E+00,0,1,00b1,57,0dac,5a,57,0f,4f,41,295,3786,62,,
52317,05:23:17,1257.4183,7738.3665,0.00E+00,0,1,00b1,57,0dac,5a,57,0f,4f,41,02c1,377d,51,,
52318,05:23:18,1257.4183,7738.3675,157c,20,2,215,78,10a4,59,57,10,4f,41,02c1,377d,51,,
52318,05:23:18,1257.4182,7738.369,14b4,1a,2,191,78,1000,59,57,10,4f,42,400,3700,5a,,
52319,05:23:19,1257.4182,7738.3698,15a4,1b,2,01d2,70,1700,5c,57,11,4f,42,400,3700,5a,,
52319,05:23:19,1257.4181,7738.3718,16a4,0b,2,192,70,1700,5c,57,11,4f,43,400,3700,6b,,
52320,05:23:20,1257.418,7738.3729,16b4,8,2,00ba,2b,1200,5c,57,11,4f,43,400,3700,6b,,
