Time (GMT),Time,Latitude,Longitude,RPM,TPS,Brake,Fuel Flow Rate,Engine Load,Rail Pressure,MAP,Baro,Speed,ECT,IAT,MAF,BAT Volt,EGR
235944,23:59:44,,,0ca8,0,1,006c,47,0eec,59,57,0,7b,50,02ad,32c5,7a
235944,23:59:44,,,0cec,0,1,72,46,0ab4,5b,57,0,7b,50,02ad,32c5,7a
235945,23:59:45,,,0d48,0,1,66,46,0ab4,5b,57,0,7b,52,293,33ed,6f
235945,23:59:45,,,0cac,0,1,61,3c,0adc,5b,57,0,7b,52,293,33ed,6f
235946,23:59:46,,,0.00E+00,0,1,00ba,3c,0adc,5b,57,0,7c,51,02ff,3.40E+03,6b
235946,23:59:46,,,0.00E+00,0,1,00b1,57,0cf8,5c,57,0,7c,51,02ff,3.40E+03,6b
235947,23:59:47,,,0.00E+00,0,1,00b2,57,0cf8,5c,57,0,7c,52,02dc,3.60E+04,6b
235947,23:59:47,,,0.00E+00,0,1,00bb,5a,0f14,5c,57,0,7c,52,02dc,3.60E+04,6b
235948,23:59:48,,,0e1c,0,1,00b4,5a,0f14,5c,57,0,7d,52,2.00E+05,35fd,6b
235948,23:59:48,,,0.00E+00,0,1,00b7,5b,0d0c,5d,57,0,7d,52,2.00E+05,35fd,6b
235949,23:59:49,,,0e4c,0,1,00b1,5b,0d0c,5d,57,0,7d,52,2.00E+02,368e,6a
235949,23:59:49,,,0.00E+00,0,1,00b0,57,0cf8,5d,57,0,7d,52,2.00E+02,368e,6a
235950,23:59:50,,,0.00E+00,0,1,00ac,57,0cf8,5d,57,0,7d,52,2.00E+02,36f9,6c
235950,23:59:50,,,0.00E+00,0,1,00a5,51,0c94,5d,57,0,7d,52,2.00E+02,36f9,6c
235951,23:59:51,,,0.00E+00,0,1,00a5,51,0c00,5d,57,0,7d,52,200,3600,6d
100502,10:05:02,,,0.00E+00,0,1,00a4,53,0c00,5c,57,0,7d,52,200,3600,6d
100503,10:05:03,,,0.00E+00,0,1,00a0,53,0c00,5c,57,0,7d,52,200,3700,6b
100503,10:05:03,,,0e2c,0,1,00a1,50,0c00,5c,57,0,7d,52,200,3700,6b
100504,10:05:04,,,0.00E+00,0,1,00a3,50,0c00,5c,57,0,7d,52,200,3700,6f
100504,10:05:04,,,0e0c,0,1,00a1,50,0c00,5c,57,0,7d,52,200,3700,6f
100505,10:05:05,,,0.00E+00,0,1,009c,50,0c00,5c,57,0,7c,51,200,3700,6b
100505,10:05:05,,,0.00E+00,0,1,009d,4f,0c00,5c,57,0,7c,51,200,3700,6b
100506,10:05:06,,,0.00E+00,0,1,009c,4f,0c00,5c,57,0,7c,51,200,3700,6d
100506,10:05:06,,,0.00E+00,0,1,009a,4d,0c00,5c,57,0,7c,51,200,3700,6d
100507,10:05:07,,,0.00E+00,0,1,009a,4d,0c00,5c,57,0,7c,51,200,3700,6d
100507,10:05:07,,,0e1c,0,1,009b,4e,0c00,5c,57,0,7c,51,200,3700,6d
100508,10:05:08,,,0e1c,0,1,009a,4e,0c00,5c,57,0,7b,51,200,3700,6f
100508,10:05:08,,,0.00E+00,0,1,98,4c,0d00,5c,57,0,7b,51,200,3700,6f
100509,10:05:09,,,0.00E+00,0,1,99,4c,0d34,5c,57,0,7b,50,02b5,3705,6d
100509,10:05:09,,,0dec,0,1,009d,51,0c58,5c,57,0,7b,50,02b5,3705,6d
100510,10:05:10,,,0e0c,0,1,009c,51,0c58,5c,57,0,7b,50,029f,3746,6e
100510,10:05:10,,,0.00E+00,0,1,009a,4d,0ce4,5c,57,0,7b,50,029f,3746,6e
100511,10:05:11,,,0.00E+00,0,1,009a,4d,0ce4,5c,57,0,7b,50,02b2,3726,6e
100511,10:05:11,,,0e0c,0,1,009a,4e,0c58,5c,57,0,7b,50,02b2,3726,6e
100512,10:05:12,,,0.00E+00,0,1,99,4e,0c58,5c,57,0,7b,50,280,3741,6e
100512,10:05:12,,,0.00E+00,0,1,97,4b,0c6c,5c,57,0,7b,50,280,3741,6e
100513,10:05:13,,,0.00E+00,0,1,009a,4b,0c6c,5c,57,0,7b,50,291,36a6,71
100513,10:05:13,,,0de4,0,5,009b,4f,0c30,5c,57,0,7b,50,291,36a6,71
100514,10:05:14,,,0.00E+00,0,5,00b9,4f,0c30,5c,57,0,7a,50,02db,341c,77
100514,10:05:14,,,0e4c,0,5,00b0,55,0c80,5c,57,0,7a,50,02db,341c,77
100515,10:05:15,,,0.00E+00,0,5,00b4,55,0c80,5c,57,0,7a,50,02b3,33db,74
100515,10:05:15,,,0dd8,0,5,00bb,5f,0d0c,5c,57,0,7a,50,02b3,33db,74
100516,10:05:16,,,0dbc,0,5,00d0,5f,0d00,5c,57,0,7a,50,200,3200,73
100516,10:05:16,,,0df4,0,5,00d7,6c,0d00,5c,57,0,7a,50,200,3200,73
100517,10:05:17,,,0d90,0,1,00f5,6c,0d00,5c,57,0,7a,50,200,3200,6a
100517,10:05:17,,,0d78,0,1,128,92,0f00,5d,57,0,7a,50,200,3200,6a
100518,10:05:18,,,0c24,0,1,1.00E+07,92,0f00,5d,57,0,7a,50,200,3200,5
100518,10:05:18,,,964,0,1,015e,fd,1000,5d,57,0,7a,50,200,3200,5
100519,10:05:19,,,10cc,0,1,01b9,fd,1000,5d,57,0,7a,4f,400,3500,3a
100519,10:05:19,,,0fe4,0,1,00d8,59,0f00,5e,57,0,7a,4f,400,3500,3a
100520,10:05:20,,,0da4,0,1,00cf,59,0f00,5e,57,0,7a,4f,200,3500,58
100520,10:05:20,,,0d1c,0,5,00be,67,0c00,5d,57,1,7a,4f,200,3500,58
100521,10:05:21,,,0ef0,0,1,008e,67,0c00,5d,57,1,7a,50,200,3600,5
100521,10:05:21,,,0da8,0,1,015e,ba,0f00,5d,57,0,7a,50,200,3600,5
100522,10:05:22,,,0fd4,0,1,106,ba,0f00,5d,57,0,7a,4f,300,3600,4c
100522,10:05:22,,,1050,0,5,00c4,4d,0.00E+00,5e,57,0,7a,4f,300,3600,4c
100523,10:05:23,,,0f2c,0,5,00a5,4d,0e9c,5e,57,0,7a,50,030c,36a6,70
100523,10:05:23,,,0.00E+00,0,5,99,4b,0d48,5d,57,0,7a,50,030c,36a6,70
100524,10:05:24,,,0.00E+00,0,5,99,4b,0d48,5d,57,0,7a,50,02ad,3693,71
100524,10:05:24,,,0.00E+00,0,5,98,4d,0cd0,5c,57,0,7a,50,02ad,3693,71
100525,10:05:25,,,0.00E+00,0,5,98,4d,0cd0,5c,57,0,7a,4f,298,3696,6f
100525,10:05:25,,,0.00E+00,0,5,99,4d,0cf8,5c,57,0,7a,4f,298,3696,6f
100526,10:05:26,,,0.00E+00,0,5,99,4d,0cf8,5c,57,0,7a,4f,290,36ab,70
100526,10:05:26,,,0e1c,0,5,99,4d,0d0c,5c,57,0,7a,4f,290,36ab,70
100527,10:05:27,,,0.00E+00,0,5,98,4d,0d0c,5c,57,0,7a,4f,028e,36bd,6e
100527,10:05:27,,,0.00E+00,0,5,99,4e,0cf8,5c,57,0,7a,4f,028e,36bd,6e
100528,10:05:28,,,0e0c,0,5,009d,4e,0cf8,5c,57,0,7a,4f,298,36be,70
100528,10:05:28,,,0.00E+00,0,5,009b,4e,0d0c,5c,57,0,7a,4f,298,36be,70
100529,10:05:29,,,0df4,0,5,00a1,4e,0d0c,5c,57,0,7a,4f,02a2,36b5,70
100529,10:05:29,,,0.00E+00,0,5,00a0,51,0c6c,5c,57,0,7a,4f,02a2,36b5,70
100530,10:05:30,,,0dfc,0,5,00a2,51,0c00,5c,57,0,7a,4f,200,3500,70
100530,10:05:30,,,0d88,0,5,00ce,66,0d00,5c,57,0,7a,4f,200,3500,70
100531,10:05:31,,,0db8,0,1,00cb,66,0d00,5c,57,0,7a,4f,200,3200,6f
100531,10:05:31,1257.4264,7744.3289,0da4,0,1,0.00E+00,75,0c00,5c,57,0,7a,4f,200,3200,6f
100532,10:05:32,1257.4264,7744.3283,0dd8,0,1,00f1,75,0c00,5c,57,0,7a,50,200,3500,64
100532,10:05:32,1257.4263,7744.3282,0.00E+00,0,1,00ef,74,0.00E+00,5d,57,0,7a,50,200,3500,64
100533,10:05:33,1257.4262,7744.3284,0.00E+00,0,1,00ea,74,0.00E+00,5d,57,0,7a,50,300,3600,66
100533,10:05:33,1257.4262,7744.3281,0.00E+00,0,1,00ec,74,0d00,5d,57,0,7a,50,300,3600,66
100534,10:05:34,1257.4263,7744.3279,0dd0,0,5,00f1,74,0d00,5d,57,0,7a,50,300,3600,68
100534,10:05:34,1257.426,7744.3281,0.00E+00,0,5,0.00E+00,6f,0.00E+00,5d,57,0,7a,50,300,3600,68
100535,10:05:35,1257.4256,7744.3279,0.00E+00,0,5,00d4,6f,0.00E+00,5d,57,0,7a,50,200,3600,6f
100535,10:05:35,1257.4253,7744.3279,0e5c,0,5,00c2,5d,0.00E+00,5d,57,0,7a,50,200,3600,6f
100536,10:05:36,1257.4256,7744.3283,0.00E+00,0,5,00bb,5d,0.00E+00,5d,57,0,7a,50,02cf,36cd,6f
100536,10:05:36,1257.4255,7744.3283,0.00E+00,0,5,00b9,5b,0dac,5d,57,0,7a,50,02cf,36cd,6f
100537,10:05:37,1257.4254,7744.3284,0df8,0,5,00bb,5b,0dac,5d,57,0,7a,50,02be,36bd,6e
100537,10:05:37,1257.4254,7744.3288,0.00E+00,0,5,00bb,5a,0.00E+00,5c,57,0,7a,50,02be,36bd,6e
100538,10:05:38,1257.4254,7744.329,0.00E+00,0,5,00a9,5a,0.00E+00,5c,57,0,7a,50,289,36d2,6d
100538,10:05:38,1257.4255,7744.3293,0.00E+00,0,5,00a9,54,0d84,5c,57,0,7a,50,289,36d2,6d
100539,10:05:39,1257.4254,7744.3295,0e1c,0,5,00aa,54,0d84,5c,57,0,7a,50,295,36cb,6e
100539,10:05:39,1257.4252,7744.3297,0.00E+00,0,5,00ac,56,0d34,5c,57,0,7a,50,295,36cb,6e
100540,10:05:40,1257.4254,7744.3295,0.00E+00,0,5,00ac,56,0d34,5c,57,0,7a,50,02a1,36ba,6d
100540,10:05:40,1257.4254,7744.3295,0dd0,0,5,00b6,5d,0d48,5c,57,0,7a,50,02a1,36ba,6d
100541,10:05:41,1257.425,7744.3291,0dd8,0,1,00b8,5d,0d48,5c,57,0,7a,50,02a4,36ce,6c
100541,10:05:41,1257.4245,7744.3282,0.00E+00,0,5,00cc,64,0.00E+00,5c,57,0,7a,50,200,3600,6c
100542,10:05:42,1257.4248,7744.3283,0dc8,0,5,0.00E+00,64,0.00E+00,5c,57,0,7a,50,200,3600,6a
100542,10:05:42,1257.4247,7744.3279,0dec,0,5,0.00E+00,72,0d00,5d,57,2,7a,50,200,3600,6a
100543,10:05:43,1257.4249,7744.3282,0df8,0,5,0.00E+00,72,0d00,5d,57,2,7a,50,200,3600,66
100543,10:05:43,1257.4245,7744.3282,0.00E+00,0,1,0.00E+00,70,0.00E+00,5d,57,5,7a,50,200,3600,66
100544,10:05:44,1257.4243,7744.3292,0de4,0,1,00f1,70,0.00E+00,5d,57,5,7a,50,200,3600,67
100544,10:05:44,1257.4242,7744.3299,0f70,0,1,00ca,58,0.00E+00,5d,57,7,7a,50,200,3600,67
100545,10:05:45,1257.4245,7744.3305,1074,7,2,103,58,0.00E+00,5d,57,7,7a,50,400,3700,68
100545,10:05:45,1257.4244,7744.3312,11b0,19,2,010b,59,1000,5e,57,8,7a,50,400,3700,68
100546,10:05:46,1257.4239,7744.3317,1424,2f,2,169,59,1000,5e,57,8,7a,51,400,3600,44
100546,10:05:46,1257.4237,7744.3322,167c,37,2,01ed,71,1800,62,57,0b,7a,51,400,3600,44
100547,10:05:47,1257.4234,7744.3331,1a68,45,2,02b5,71,18c4,62,57,0b,7a,52,076f,370f,32
100547,10:05:47,1257.4234,7744.3341,1f28,4e,2,034f,72,25bc,74,57,0f,7a,52,076f,370f,32
100548,10:05:48,1257.4235,7744.3355,2368,0,1,314,72,25bc,74,57,0f,7a,56,0b00,3706,45
100548,10:05:48,1257.4233,7744.3365,1ed4,0,1,00a4,19,14f0,78,57,11,7a,56,0b00,3706,45
100549,10:05:49,1257.4231,7744.3381,18c4,23,2,201,19,14f0,78,57,11,7a,56,6.00E+08,3737,4b
100549,10:05:49,1257.4232,7744.3389,1828,35,2,238,6b,01-Dec,71,57,14,7a,56,6.00E+08,3737,4b
100550,10:05:50,1257.4231,7744.341,19bc,34,2,299,6b,01-Dec,71,57,14,7a,54,784,36fc,45
100550,10:05:50,1257.4233,7744.3425,1bac,2b,2,02cc,73,224c,76,57,17,7a,54,784,36fc,45
