Time (GMT),Time,RPM,TPS,Brake,Fuel Flow Rate,Engine Load,Rail Pressure,MAP,Baro,Speed,ECT,IAT,MAF,BAT Volt,EGR
4,00:00:04,1074,0,1,90,db,898,5a,57,0,57,49,350,308e,58
4,00:00:04,0cfc,0,5,008c,54,0cd0,59,57,0,57,49,350,308e,58
5,00:00:05,0cb4,0,5,95,54,0cd0,59,57,0,57,55,02be,30ed,6b
5,00:00:05,0c68,0,5,96,5c,0ac8,59,57,0,57,55,02be,30ed,6b
6,00:00:06,0c90,0,5,97,5c,0ac8,59,57,0,58,55,029c,3144,60
6,00:00:06,0ea0,0,5,012a,8e,0.00E+00,59,57,0,58,55,029c,3144,60
7,00:00:07,0f0c,0,5,0.00E+00,8e,0.00E+00,59,57,0,58,54,321,326c,5e
7,00:00:07,0.00E+00,0,5,00ef,73,0.00E+00,59,57,0,58,54,321,326c,5e
8,00:00:08,0e1c,0,5,00ef,73,0.00E+00,59,57,0,58,53,030c,3389,53
8,00:00:08,0.00E+00,0,5,00f3,76,0dac,59,57,0,58,53,030c,3389,53
9,00:00:09,0dfc,0,5,00f8,76,0dac,59,57,0,58,53,315,361d,44
9,00:00:09,0.00E+00,0,5,00f9,78,0.00E+00,59,57,0,58,53,315,361d,44
10,00:00:10,0.00E+00,0,5,00fd,78,0.00E+00,59,57,0,58,52,032e,36c4,3c
10,00:00:10,0e8c,0,5,00f1,70,0.00E+00,59,57,0,58,52,032e,36c4,3c
11,00:00:11,0.00E+00,0,5,00ea,70,0.00E+00,59,57,0,58,51,300,3700,3b
11,00:00:11,0.00E+00,0,5,00f5,72,1000,5a,57,0,58,51,300,3700,3b
12,00:00:12,0df0,0,5,00f2,72,1000,5a,57,0,58,51,300,3600,37
12,00:00:12,0.00E+00,0,5,00f6,75,0d00,5a,57,0,58,51,300,3600,37
13,00:00:13,0.00E+00,0,5,00f0,75,0d00,5a,57,0,58,51,300,3600,38
13,00:00:13,0e2c,0,5,00ef,73,0.00E+00,5a,57,0,58,51,300,3600,38
14,00:00:14,0.00E+00,0,5,00ef,73,0.00E+00,5a,57,0,57,50,300,3600,3c
14,00:00:14,0.00E+00,0,5,00f0,71,0.00E+00,5a,57,0,57,50,300,3600,3c
15,00:00:15,0e4c,0,5,00ea,71,0.00E+00,5a,57,0,57,50,300,3600,4a
15,00:00:15,0e0c,0,5,00ec,73,0d00,5a,57,0,57,50,300,3600,4a
16,00:00:16,0e1c,0,5,00eb,73,0d00,5a,57,0,57,4f,300,3600,57
16,00:00:16,0.00E+00,0,5,00eb,71,0d00,5a,57,0,57,4f,300,3600,57
17,00:00:17,0.00E+00,0,5,00eb,71,0d00,5a,57,0,57,4f,300,3600,65
17,00:00:17,0df4,0,1,00ee,76,0d00,5a,57,0,57,4f,300,3600,65
18,00:00:18,0.00E+00,0,1,0.00E+00,76,0dc0,5a,57,0,57,4f,02d9,371f,64
18,00:00:18,0.00E+00,0,1,00df,6a,0de8,5a,57,0,57,4f,02d9,371f,64
19,00:00:19,0e3c,0,1,00de,6a,0de8,5a,57,0,57,4e,02de,3734,64
19,00:00:19,0e5c,0,1,00dd,68,0.00E+00,5a,57,0,57,4e,02de,3734,64
20,00:00:20,0.00E+00,0,1,00d9,68,0.00E+00,5a,57,0,57,4e,02cf,3716,65
20,00:00:20,0.00E+00,0,1,00d9,69,0dc0,5a,57,0,57,4e,02cf,3716,65
21,00:00:21,0.00E+00,0,1,00d6,69,0dc0,5a,57,0,57,4e,029f,373a,66
21,00:00:21,0.00E+00,0,1,00d6,67,0d70,5a,57,0,57,4e,029f,373a,66
22,00:00:22,0.00E+00,0,1,00d3,67,0d70,5a,57,0,57,4e,02b7,3728,64
22,00:00:22,0.00E+00,0,1,00d1,66,0d5c,5a,57,0,57,4e,02b7,3728,64
23,00:00:23,0.00E+00,0,1,00d5,66,0d5c,5a,57,0,57,4e,02c5,373a,65
23,00:00:23,0.00E+00,0,1,00d4,67,0dc0,5a,57,0,57,4e,02c5,373a,65
24,00:00:24,0e4c,0,1,00d3,67,0dc0,5a,57,0,57,4e,02b7,3750,66
24,00:00:24,0.00E+00,0,1,00d1,66,0de8,5a,57,0,57,4e,02b7,3750,66
25,00:00:25,0.00E+00,0,1,00d1,66,0d00,5a,57,0,57,4d,200,3700,64
25,00:00:25,0e1c,0,1,00d5,68,0d00,5a,57,0,57,4d,200,3700,64
26,00:00:26,0.00E+00,0,1,00d4,68,0d00,5a,57,0,57,4d,200,3700,64
26,00:00:26,0.00E+00,0,1,00d2,67,0d00,5a,57,0,57,4d,200,3700,64
27,00:00:27,0.00E+00,0,1,00d4,67,0d00,5a,57,0,57,4d,200,3700,66
27,00:00:27,0.00E+00,0,1,00d3,66,0d00,5a,57,0,57,4d,200,3700,66
28,00:00:28,0.00E+00,0,1,00d1,66,0d00,5a,57,0,57,4d,200,3700,66
28,00:00:28,0.00E+00,0,1,00d0,66,0d00,5a,57,0,57,4d,200,3700,66
29,00:00:29,0e1c,0,1,00d3,66,0d00,5a,57,0,58,4d,200,3700,64
29,00:00:29,0e4c,0,1,00d3,65,0d00,5a,57,0,58,4d,200,3700,64
30,00:00:30,0.00E+00,0,1,00d1,65,0d00,5a,57,0,58,4d,200,3700,67
30,00:00:30,0e3c,0,1,00d0,64,0d00,5a,57,0,58,4d,200,3700,67
31,00:00:31,0.00E+00,0,1,00cd,64,0d00,5a,57,0,58,4d,200,3700,64
31,00:00:31,0.00E+00,0,1,00cd,64,0d00,5a,57,0,58,4d,200,3700,64
32,00:00:32,0.00E+00,0,1,00cd,64,0d34,5a,57,0,58,4d,02b2,3756,65
32,00:00:32,0e2c,0,1,00cd,64,0dc0,5a,57,0,58,4d,02b2,3756,65
33,00:00:33,0.00E+00,0,1,00cd,64,0dc0,5a,57,0,58,4c,02b3,3765,66
33,00:00:33,0.00E+00,0,1,00c8,61,0.00E+00,5a,57,0,58,4c,02b3,3765,66
34,00:00:34,0.00E+00,0,1,00cb,61,0.00E+00,5a,57,0,58,4c,029d,3772,65
34,00:00:34,0.00E+00,0,1,00cc,63,0d5c,5a,57,0,58,4c,029d,3772,65
35,00:00:35,0.00E+00,0,1,00cc,63,0d5c,5a,57,0,58,4c,02ad,3767,65
35,00:00:35,0.00E+00,0,1,00cd,63,0de8,5a,57,0,58,4c,02ad,3767,65
36,00:00:36,0.00E+00,0,1,00cb,63,0de8,5a,57,0,58,4c,029f,3766,65
36,00:00:36,0.00E+00,0,1,00cb,64,0dac,5a,57,0,58,4c,029f,3766,65
37,00:00:37,0.00E+00,0,1,00ca,64,0dac,5a,57,0,58,4c,029f,3757,65
37,00:00:37,0.00E+00,0,1,00cc,64,0de8,5a,57,0,58,4c,029f,3757,65
38,00:00:38,0.00E+00,0,1,00cc,64,0de8,5a,57,0,58,4c,02a1,377a,66
38,00:00:38,0.00E+00,0,1,00cb,63,0de8,5a,57,0,58,4c,02a1,377a,66
39,00:00:39,0.00E+00,0,1,00cb,63,0d00,5a,57,0,58,4c,200,3700,65
39,00:00:39,0.00E+00,0,1,00c9,63,0d00,5a,57,0,58,4c,200,3700,65
40,00:00:40,0e1c,0,1,00c9,63,0d00,5a,57,0,58,4c,200,3700,64
40,00:00:40,0.00E+00,0,1,00c8,61,0d00,5a,57,0,58,4c,200,3700,64
41,00:00:41,0.00E+00,0,1,00c9,61,0d00,5a,57,0,58,4c,200,3700,67
41,00:00:41,0.00E+00,0,1,00c7,63,0d00,5a,57,0,58,4c,200,3700,67
42,00:00:42,0.00E+00,0,1,00c7,63,0d00,5a,57,0,58,4c,200,3700,64
42,00:00:42,0e2c,0,1,00c8,61,0.00E+00,5a,57,0,58,4c,200,3700,64
43,00:00:43,0.00E+00,0,1,00c6,61,0.00E+00,5a,57,0,59,4c,200,3700,66
43,00:00:43,0e1c,0,1,00c7,63,0d00,5a,57,0,59,4c,200,3700,66
