Time (GMT),Time,Latitude,Longitude,RPM,TPS,Brake,Fuel Flow Rate,Engine Load,Rail Pressure,MAP,Baro,Speed,ECT,IAT,MAF,BAT Volt,EGR
235945,23:59:45,,,0d94,0,1,55,6c,0c6c,59,57,0,70,47,02ae,32f0,74
235945,23:59:45,,,0cf4,0,1,005f,3d,0b90,5a,57,0,70,47,02ae,32f0,74
235946,23:59:46,,,0c90,0,1,60,3d,0b90,5a,57,0,70,4c,218,3400,67
235946,23:59:46,,,0c78,0,1,61,3e,0b68,5a,57,0,70,4c,218,3400,67
235947,23:59:47,,,0d4c,0,1,00cc,3e,0b68,5a,57,0,70,4a,309,3711,6a
235947,23:59:47,,,0ee4,0,1,00a3,4c,0de8,5b,57,0,70,4a,309,3711,6a
235948,23:59:48,,,0df4,0,5,00a6,4c,0de8,5b,57,0,71,4b,280,3715,64
235948,23:59:48,,,0.00E+00,0,5,00a9,53,0d70,5b,57,0,71,4b,280,3715,64
235949,23:59:49,,,0.00E+00,0,5,00a5,53,0d70,5b,57,0,71,4b,293,3740,65
235949,23:59:49,,,0.00E+00,0,5,00a1,51,0cd0,5b,57,0,71,4b,293,3740,65
235950,23:59:50,,,0.00E+00,0,5,00a3,51,0cd0,5b,57,0,71,4b,02a6,374d,65
235950,23:59:50,,,0.00E+00,0,5,00a0,50,0cd0,5b,57,0,71,4b,02a6,374d,65
235951,23:59:51,,,0e2c,0,5,009f,50,0cd0,5b,57,0,72,4a,028c,376d,65
235951,23:59:51,,,0e4c,0,5,009c,4e,0c94,5b,57,0,72,4a,028c,376d,65
235952,23:59:52,,,0.00E+00,0,5,009a,4e,0c00,5b,57,0,72,4a,200,3700,64
235952,23:59:52,,,0.00E+00,0,5,99,4e,0c00,5b,57,0,72,4a,200,3700,64
82926,08:29:26,,,0.00E+00,0,5,009b,4e,0c00,5b,57,0,72,4a,200,3700,64
82927,08:29:27,,,0.00E+00,0,5,009a,4d,0c00,5b,57,0,72,4a,200,3700,64
82927,08:29:27,,,0.00E+00,0,5,009c,4d,0c00,5b,57,0,72,49,200,3400,6e
82928,08:29:28,,,0df8,0,5,00a1,52,0b00,5b,57,0,72,49,200,3400,6e
82928,08:29:28,,,0e2c,0,5,00a8,52,0b00,5b,57,0,71,49,200,3600,68
82929,08:29:29,,,0.00E+00,0,5,00a1,4f,0c00,5b,57,0,71,49,200,3600,68
82929,08:29:29,,,0.00E+00,0,5,009d,4f,0c00,5b,57,0,71,49,200,3700,66
82930,08:29:30,,,0e2c,0,5,009b,4e,0c00,5b,57,0,71,49,200,3700,66
82930,08:29:30,,,0.00E+00,0,5,009a,4e,0c00,5b,57,0,71,48,200,3700,66
82931,08:29:31,,,0.00E+00,0,5,97,4c,0c00,5b,57,0,71,48,200,3700,66
82931,08:29:31,,,0.00E+00,0,5,96,4c,0c00,5b,57,0,71,48,200,3700,66
82932,08:29:32,,,0e1c,0,5,95,4c,0c00,5b,57,0,71,48,200,3700,66
82932,08:29:32,,,0.00E+00,0,5,96,4c,0c6c,5b,57,0,71,48,282,371a,68
