Time (GMT),Time,Latitude,Longitude,RPM,TPS,Brake,Fuel Flow Rate,Engine Load,Rail Pressure,MAP,Baro,Speed,ECT,IAT,MAF,BAT Volt,EGR
235944,23:59:44,,,0c64,0,1,007a,4c,0bcc,5a,57,0,80,46,239,3670,6f
235944,23:59:44,,,0d44,0,1,62,3a,0c08,5b,57,0,80,46,239,3670,6f
235945,23:59:45,,,0cb0,0,1,66,3a,0c08,5b,57,0,80,46,230,31cf,77
235945,23:59:45,,,0bec,0,1,84,55,09b0,5b,57,0,80,46,230,31cf,77
235946,23:59:46,,,0c68,0,1,00d1,55,09b0,5b,57,0,81,46,268,37b1,58
235946,23:59:46,,,10b0,0,1,00a8,40,0.00E+00,5b,57,0,81,46,268,37b1,58
235947,23:59:47,,,0.00E+00,0,5,004c,40,0.00E+00,5b,57,0,81,47,218,3773,6a
235947,23:59:47,,,0ccc,0,5,005a,3a,0b7c,5c,57,0,81,47,218,3773,6a
235948,23:59:48,,,0ca8,0,1,58,3a,0b7c,5c,57,0,81,47,01fd,37b4,5c
235948,23:59:48,,,0c78,0,1,008f,5a,0b54,5b,57,1,81,47,01fd,37b4,5c
235949,23:59:49,,,0c64,0,1,009b,5a,0b54,5b,57,1,81,47,026a,37d2,6b
235949,23:59:49,,,0c40,0,1,00d1,6a,0ba4,5b,57,4,81,47,026a,37d2,6b
235950,23:59:50,,,0ef8,0,5,009f,6a,0ba4,5b,57,4,81,48,028b,37fa,6f
235950,23:59:50,,,0f78,0,5,006c,33,0d00,5b,57,5,81,48,200,3700,6f
235951,23:59:51,,,0dec,0,5,56,33,0d00,5b,57,5,81,48,200,3700,6c
235951,23:59:51,,,0da4,0,5,57,33,0b00,5b,57,3,81,48,200,3700,6c
235952,23:59:52,,,0d14,0,1,005f,33,0b00,5b,57,3,80,48,200,3700,6e
235952,23:59:52,,,0d0c,0,5,006d,41,0b00,5b,57,3,80,48,200,3700,6e
235953,23:59:53,,,0d60,0,5,64,41,0b00,5b,57,3,80,48,200,3800,6e
235953,23:59:53,,,0d70,0,5,005f,38,0b00,5b,57,2,80,48,200,3800,6e
235954,23:59:54,,,0cdc,0,5,56,38,0b00,5b,57,2,80,48,200,3800,6c
235954,23:59:54,,,0cb4,0,5,54,35,0b00,5b,57,2,80,48,200,3800,6c
235955,23:59:55,,,0cbc,0,5,59,35,0b00,5b,57,2,80,48,200,3700,6e
235955,23:59:55,,,0c98,0,5,56,38,0b00,5b,57,1,80,48,200,3700,6e
235956,23:59:56,,,0c98,0,1,53,38,0b00,5b,57,1,80,48,200,3700,63
85226,08:52:26,,,0bc4,0,1,87,56,0a00,5b,57,3,80,48,200,3700,63
85227,08:52:27,,,0de0,0,1,00b0,56,0a00,5b,57,3,7f,48,200,3800,6f
85227,08:52:27,,,0fa8,0,5,005b,2b,0dc0,5b,57,3,7f,48,02f6,3830,6f
85228,08:52:28,,,0db8,0,5,55,2b,0dc0,5b,57,3,7f,49,271,3828,6d
85228,08:52:28,,,0cd4,0,5,004c,32,0bb8,5b,57,2,7f,49,271,3828,6d
85229,08:52:29,,,0cd0,0,5,004e,32,0bb8,5b,57,2,7f,48,023a,37ff,6b
85229,08:52:29,,,0c7c,0,5,004f,35,0b90,5b,57,2,7f,48,023a,37ff,6b
85230,08:52:30,,,0c8c,0,5,004d,35,0b90,5b,57,2,7f,48,230,37f7,6c
85230,08:52:30,,,0c98,0,5,004d,34,0ba4,5b,57,2,7f,48,230,37f7,6c
85231,08:52:31,,,0ca4,0,5,50,34,0ba4,5b,57,2,7f,47,246,37f5,6c
85231,08:52:31,,,0c88,0,5,50,35,0adc,5b,57,2,7f,47,246,37f5,6c
85232,08:52:32,,,0c8c,0,1,49,35,0adc,5b,57,2,7f,47,222,381b,69
85232,08:52:32,,,0c34,0,1,005b,3c,0b54,5b,57,2,7f,47,222,381b,69
85233,08:52:33,,,0c78,0,5,53,3c,0b54,5b,57,2,7f,48,241,3805,6c
85233,08:52:33,,,0ce4,0,5,004e,31,0b7c,5b,57,2,7f,48,241,3805,6c
85234,08:52:34,,,0cac,0,1,51,31,0b7c,5b,57,2,7f,48,243,384c,6b
85234,08:52:34,,,0c68,0,1,53,37,0b00,5b,57,2,7f,48,200,3800,6b
85235,08:52:35,,,0c74,0,1,54,37,0b00,5b,57,2,7f,47,200,3800,6b
85235,08:52:35,,,0c0c,0,1,60,47,0b00,5b,57,3,7f,47,200,3800,6b
85236,08:52:36,,,0de0,0,5,006a,47,0b00,5b,57,3,7f,48,200,3800,6b
