Time (GMT),Time,Latitude,Longitude,RPM,TPS,Brake,Fuel Flow Rate,Engine Load,Rail Pressure,MAP,Baro,Speed,ECT,IAT,MAF,BAT Volt,EGR
235944,23:59:44,,,0c9c,0,1,007a,49,0be0,5a,57,0,72,53,029f,32e6,73
235944,23:59:44,,,0d0c,0,1,69,3f,0b04,5a,57,0,72,53,029f,32e6,73
235945,23:59:45,,,0db8,0,1,00cf,3f,0b04,5a,57,0,73,54,02ff,33df,63
235945,23:59:45,,,0e5c,0,1,00b9,5a,0dc0,5b,57,0,73,54,02ff,33df,63
235946,23:59:46,,,0.00E+00,0,1,00be,5a,0dc0,5b,57,0,73,55,02ee,3491,67
235946,23:59:46,,,0df8,0,1,00c2,61,0d34,5b,57,0,73,55,02ee,3491,67
235947,23:59:47,,,0.00E+00,0,5,00c4,61,0d34,5b,57,0,73,56,2e08,367d,67
235947,23:59:47,,,0e2c,0,1,00c0,60,0d98,5b,57,0,73,56,2e08,367d,67
235948,23:59:48,,,0dc0,0,1,0.00E+00,60,0d98,5b,57,0,74,56,02f8,33d6,64
235948,23:59:48,,,0df0,0,5,0.00E+00,6f,0d84,5b,57,0,74,56,02f8,33d6,64
235949,23:59:49,,,0.00E+00,0,5,0.00E+00,6f,0d84,5b,57,0,74,57,030c,3657,57
235949,23:59:49,,,0.00E+00,0,5,00d8,64,0.00E+00,5c,57,1,74,57,030c,3657,57
235950,23:59:50,,,0e1c,0,5,00d8,64,0.00E+00,5c,57,1,74,57,02ee,36b2,52
235950,23:59:50,,,0.00E+00,0,1,00d8,69,0d00,5c,57,1,74,57,200,3600,52
235951,23:59:51,,,0dcc,0,5,0.00E+00,69,0d00,5c,57,1,74,57,200,3600,49
235951,23:59:51,,,0e4c,0,5,00dd,6a,0.00E+00,5c,57,2,74,57,200,3600,49
235952,23:59:52,,,0.00E+00,0,5,00de,6a,0.00E+00,5c,57,2,73,57,200,3600,46
235952,23:59:52,,,0eac,0,5,00cf,60,0d00,5c,57,3,73,57,200,3600,46
235953,23:59:53,,,0e5c,0,5,00c4,60,0d00,5c,57,3,73,57,300,3600,52
235953,23:59:53,,,0.00E+00,0,5,00be,5c,0d00,5c,57,2,73,57,300,3600,52
235954,23:59:54,,,0.00E+00,0,5,00bf,5c,0d00,5c,57,2,73,57,200,3600,59
111314,11:13:14,,,0.00E+00,0,5,00c9,63,0d00,5c,57,1,73,57,200,3600,59
111314,11:13:14,,,0df8,0,5,00c6,63,0d00,5c,57,1,72,57,200,3600,5e
111315,11:13:15,,,0da0,0,5,00d6,6c,0d00,5c,57,1,72,57,200,3600,5e
111315,11:13:15,,,0.00E+00,0,5,00da,6c,0d00,5c,57,1,72,57,200,3300,5a
111316,11:13:16,,,0dac,0,5,00f1,7a,0c00,5c,57,1,72,57,200,3300,5a
111316,11:13:16,,,0e4c,0,5,0.00E+00,7a,0c00,5c,57,1,72,57,300,3600,4b
111317,11:13:17,,,0.00E+00,0,5,0.00E+00,71,0dfc,5c,57,1,72,57,030e,3664,4b
111317,11:13:17,,,0e1c,0,5,0.00E+00,71,0dfc,5c,57,1,72,57,02fd,36c4,42
111318,11:13:18,,,0f58,0,5,00d2,59,0de8,5c,57,1,72,57,02fd,36c4,42
111318,11:13:18,,,0f00,0,5,00aa,59,0de8,5c,57,1,72,57,316,36be,58
111319,11:13:19,,,0.00E+00,0,5,00a8,54,0d5c,5c,57,0,72,57,316,36be,58
111319,11:13:19,,,0db4,0,5,00b4,54,0d5c,5c,57,0,72,57,02d7,3522,61
111320,11:13:20,,,0dec,0,5,00d5,69,0cd0,5c,57,0,72,57,02d7,3522,61
111320,11:13:20,,,0ddc,0,5,00f7,69,0cd0,5c,57,0,72,57,2e02,353d,51
111321,11:13:21,,,0.00E+00,0,5,00fb,7b,0d0c,5c,57,1,72,57,2e02,353d,51
111321,11:13:21,,,0d90,0,1,115,7b,0d0c,5c,57,1,72,57,02dc,3316,38
111322,11:13:22,,,0dcc,0,1,122,8e,0.00E+00,5c,57,3,72,57,02dc,3316,38
111322,11:13:22,,,0da4,0,1,155,8e,0.00E+00,5c,57,3,72,57,02de,35c3,34
111323,11:13:23,,,0e0c,0,1,157,a1,1004,5c,57,7,72,57,02de,35c3,34
111323,11:13:23,,,1058,0,1,119,a1,1004,5c,57,7,72,56,03a9,373a,3b
111324,11:13:24,,,104c,0,1,00c5,4d,0f00,5d,57,7,72,56,300,3700,3b
111324,11:13:24,,,1008,1,2,00ab,4d,0f00,5d,57,7,72,57,300,3700,55
111325,11:13:25,,,0f88,0,2,00f8,65,0f00,5d,57,8,72,57,300,3700,55
111325,11:13:25,,,12c0,9,2,176,65,0f00,5d,57,8,72,57,300,3700,53
111326,11:13:26,,,138c,8,2,100,57,1200,5e,57,9,72,57,300,3700,53
111326,11:13:26,,,1410,14,2,161,57,1200,5e,57,9,72,57,400,3700,62
111327,11:13:27,,,1530,1d,2,014d,56,1400,5f,57,9,72,57,400,3700,62
111327,11:13:27,,,1640,25,2,018f,56,1400,5f,57,9,72,58,500,3700,56
111328,11:13:28,,,1854,24,2,01f9,64,1900,63,57,0c,72,58,500,3700,56
111328,11:13:28,,,1b4c,19,1,247,64,1900,63,57,0c,72,59,700,3700,57
111329,11:13:29,,,17c8,0,1,00b1,25,1100,66,57,0c,72,59,700,3700,57
111329,11:13:29,,,119c,0,1,00df,25,1100,66,57,0c,72,58,300,3600,69
111330,11:13:30,,,113c,0,5,00bc,46,0f00,5f,57,0c,72,58,300,3600,69
111330,11:13:30,,,0f84,0,5,00a3,46,0f00,5f,57,0c,72,56,300,3600,68
111331,11:13:31,,,0.00E+00,0,5,009f,4f,0d48,5c,57,0b,72,56,305,36f1,68
111331,11:13:31,,,0.00E+00,0,5,009c,4f,0d48,5c,57,0b,72,56,02bf,370a,66
111332,11:13:32,,,0df0,0,5,009e,50,0cbc,5b,57,0b,72,56,02bf,370a,66
111332,11:13:32,,,0e0c,0,5,00a1,50,0cbc,5b,57,0b,72,56,02ca,36f5,66
111333,11:13:33,,,0e0c,0,5,00a2,52,0ce4,5b,57,0a,72,56,02ca,36f5,66
111333,11:13:33,,,0e1c,0,5,00a3,52,0ce4,5b,57,0a,72,56,02cf,36f8,66
111334,11:13:34,,,0e1c,0,5,00a2,51,0c80,5b,57,9,72,56,02cf,36f8,66
111334,11:13:34,,,0.00E+00,0,5,00a4,51,0c80,5b,57,9,72,56,02cf,3719,66
111335,11:13:35,,,0.00E+00,0,5,00a1,50,0d48,5b,57,7,72,56,02cf,3719,66
111335,11:13:35,,,0.00E+00,0,5,00a1,50,0d48,5b,57,7,72,56,02c3,3704,65
111336,11:13:36,,,0.00E+00,0,5,00a3,53,0cbc,5b,57,6,72,56,02c3,3704,65
111336,11:13:36,,,0e3c,0,5,00a1,53,0cbc,5b,57,6,72,56,02c8,371d,68
111337,11:13:37,,,0.00E+00,0,5,009d,4f,0ce4,5b,57,5,72,56,02c8,371d,68
111337,11:13:37,,,0.00E+00,0,1,009e,4f,0ce4,5b,57,5,72,56,02cf,36ec,69
111338,11:13:38,,,0.00E+00,0,5,009d,4f,0c00,5b,57,4,72,56,200,3600,69
111338,11:13:38,,,0.00E+00,0,5,009d,4f,0c00,5b,57,4,72,56,200,3600,66
111339,11:13:39,,,0.00E+00,0,5,009c,4f,0c00,5b,57,1,72,56,200,3600,66
111339,11:13:39,,,0.00E+00,0,5,009c,4f,0c00,5b,57,1,72,56,200,3600,67
111340,11:13:40,,,0.00E+00,0,5,009c,4f,0c00,5b,57,0,72,56,200,3600,67
111340,11:13:40,,,0dcc,0,5,009f,4f,0c00,5b,57,0,72,56,200,3600,66
111341,11:13:41,,,0.00E+00,0,1,009d,4e,0c00,5b,57,0,72,56,200,3600,66
111341,11:13:41,,,0.00E+00,0,1,009a,4e,0c00,5b,57,0,72,56,200,3700,66
111342,11:13:42,,,0.00E+00,0,1,99,4d,0c00,5b,57,0,72,56,200,3700,66
111342,11:13:42,,,0.00E+00,0,1,009a,4d,0c00,5b,57,0,72,56,200,3700,66
