Time (GMT),Time,Latitude,Longitude,RPM,TPS,Brake,Fuel Flow Rate,Engine Load,Rail Pressure,MAP,Baro,Speed,ECT,IAT,MAF,BAT Volt,EGR
235944,23:59:44,,,0db0,0,1,00d8,80,0c30,59,57,0,49,47,309,31e6,61
235944,23:59:44,,,0ccc,0,1,00d3,7a,0ce4,59,57,0,49,47,309,31e6,61
235945,23:59:45,,,0d00,0,1,00d3,7a,0ce4,59,57,0,4a,47,02c8,32e4,63
235945,23:59:45,,,0f1c,0,1,012e,81,1004,59,57,0,4a,47,02c8,32e4,63
235946,23:59:46,,,0.00E+00,0,1,116,81,1004,59,57,0,4a,48,346,36b6,66
235946,23:59:46,,,0ea8,0,1,114,7d,0f8c,59,57,0,4a,48,346,36b6,66
235947,23:59:47,,,0.00E+00,0,5,108,7d,0f8c,59,57,0,4a,48,337,3721,6f
235947,23:59:47,,,0eec,0,5,010d,77,0f00,59,57,0,4a,48,337,3721,6f
235948,23:59:48,,,0ec0,0,5,104,77,0f00,59,57,0,4a,48,029d,372a,59
235948,23:59:48,,,0.00E+00,0,5,101,7e,0f28,59,57,0,4a,48,029d,372a,59
235949,23:59:49,,,0ec0,0,5,100,7e,0f28,59,57,0,4a,48,034f,3741,5e
235949,23:59:49,,,0eb0,0,1,00f0,6c,0.00E+00,59,57,0,4a,48,034f,3741,5e
235950,23:59:50,,,0e4c,0,5,0.00E+00,6c,0.00E+00,59,57,0,4a,49,02cb,375f,5e
235950,23:59:50,,,0.00E+00,0,5,00ed,6e,0d00,59,57,2,4a,49,200,3700,5e
235951,23:59:51,,,0.00E+00,0,5,0.00E+00,6e,0d00,59,57,2,4a,48,200,3700,55
235951,23:59:51,,,0.00E+00,0,5,00eb,73,0.00E+00,59,57,1,4a,48,200,3700,55
235952,23:59:52,,,0ee0,0,5,00f6,73,0.00E+00,59,57,1,4a,48,300,3100,67
235952,23:59:52,,,0dec,0,5,00f3,74,0d00,59,57,1,4a,48,300,3100,67
235953,23:59:53,,,0.00E+00,0,1,00f5,74,0d00,59,57,1,4a,48,200,3100,62
235953,23:59:53,,,0d68,0,1,111,8f,0d00,59,57,0,4a,48,200,3100,62
235954,23:59:54,,,0e3c,0,1,128,8f,0d00,59,57,0,4a,48,300,3600,53
235954,23:59:54,,,0f64,0,5,010b,74,0f00,59,57,2,4a,48,300,3600,53
235955,23:59:55,,,0eb4,0,5,00f2,74,0f00,59,57,2,4a,48,300,3600,61
235955,23:59:55,,,0.00E+00,0,5,00f5,72,0.00E+00,59,57,2,4a,48,300,3600,61
235956,23:59:56,,,0.00E+00,0,5,00f3,72,0.00E+00,59,57,2,4a,48,200,3600,5f
235956,23:59:56,,,0.00E+00,0,5,00ee,72,0d00,59,57,2,4a,48,200,3600,5f
235957,23:59:57,,,0e0c,0,5,00f0,72,0d00,59,57,2,4a,48,200,3600,5b
