Time (GMT),Time,RPM,TPS,Brake,Fuel Flow Rate,Engine Load,Rail Pressure,MAP,Baro,Speed,ECT,IAT,MAF,BAT Volt,EGR
235944,23:59:44,0c78,0,1,007b,4d,0a78,59,57,0,71,56,02a9,3289,4e
235944,23:59:44,0d00,0,1,66,3d,0af0,5a,57,0,71,56,02a9,3289,4e
235945,23:59:45,0d5c,0,1,0.00E+00,3d,0af0,5a,57,0,71,57,02f4,334d,3d
235945,23:59:45,0e2c,0,1,00ca,61,0d98,5a,57,0,71,57,02f4,334d,3d
235946,23:59:46,0e0c,0,1,00d1,61,0d98,5a,57,0,72,58,02cb,349d,34
235946,23:59:46,0dfc,0,1,00d4,6a,0cbc,5a,57,0,72,58,02cb,349d,34
235947,23:59:47,0.00E+00,0,1,00d5,6a,0cbc,5a,57,0,72,58,02f4,3714,32
235947,23:59:47,0.00E+00,0,1,00c8,61,0d70,5a,57,0,72,58,02f4,3714,32
235948,23:59:48,0.00E+00,0,1,00cb,61,0d70,5a,57,0,72,59,02db,3757,32
235948,23:59:48,0dfc,0,1,00d1,68,0d70,5a,57,0,72,59,02db,3757,32
235949,23:59:49,0da0,0,1,00f2,68,0d70,5a,57,0,71,59,02d6,3670,33
235949,23:59:49,0.00E+00,0,1,00f8,75,0.00E+00,5a,57,0,71,59,02d6,3670,33
235950,23:59:50,0.00E+00,0,5,00ee,75,0.00E+00,5a,57,0,71,59,02f4,36ac,33
235950,23:59:50,0e4c,0,5,00ee,71,0d00,5b,57,1,71,59,200,3600,33
235951,23:59:51,0e3c,0,1,0.00E+00,71,0d00,5b,57,1,71,59,300,3600,34
235951,23:59:51,0df8,0,5,0.00E+00,70,0.00E+00,5b,57,2,71,59,300,3600,34
235952,23:59:52,0.00E+00,0,5,00ea,70,0.00E+00,5b,57,2,70,59,200,3600,33
235952,23:59:52,0.00E+00,0,5,00ea,72,0d00,5b,57,2,70,59,200,3600,33
235953,23:59:53,0e4c,0,5,0.00E+00,72,0d00,5b,57,2,70,59,200,3600,33
