Time (GMT),Time,RPM,TPS,Brake,Fuel Flow Rate,Engine Load,Rail Pressure,MAP,Baro,Speed,ECT,IAT,MAF,BAT Volt,EGR
14,00:00:14,0.00E+00,0,5,0.00E+00,6d,0.00E+00,5a,57,0,4b,44,02c8,35fa,5c
15,00:00:15,0.00E+00,0,1,0.00E+00,6d,0.00E+00,5a,57,0,4b,44,02dc,3640,63
15,00:00:15,0.00E+00,0,1,00ea,73,0e4c,5a,57,0,4b,44,02dc,3640,63
16,00:00:16,0.00E+00,0,1,013f,73,0e4c,5a,57,0,4c,44,316,3559,5c
16,00:00:16,0ef0,0,1,128,84,0fdc,5a,57,2,4c,44,316,3559,5c
17,00:00:17,0.00E+00,0,5,011c,84,0fdc,5a,57,2,4c,44,309,313b,66
17,00:00:17,0e0c,0,5,136,95,0e9c,5a,57,4,4c,44,309,313b,66
18,00:00:18,0.00E+00,0,5,012d,95,0e9c,5a,57,4,4c,45,031f,312a,64
18,00:00:18,0.00E+00,0,5,130,8c,0f00,5a,57,6,4c,45,300,3100,64
19,00:00:19,0ef4,0,1,124,8c,0f00,5a,57,6,4c,44,300,3500,60
19,00:00:19,0f90,0,1,107,6b,1000,5a,57,6,4c,44,300,3500,60
20,00:00:20,0ee0,0,1,0.00E+00,6b,1000,5a,57,6,4c,44,200,3600,61
20,00:00:20,0ed0,0,1,0.00E+00,64,0.00E+00,5a,57,6,4c,44,200,3600,61
21,00:00:21,0f08,0,5,00d1,64,0.00E+00,5a,57,6,4c,44,200,3600,62
21,00:00:21,0.00E+00,0,5,00cd,63,0.00E+00,5a,57,6,4c,44,200,3600,62
22,00:00:22,0.00E+00,0,1,00d0,63,0.00E+00,5a,57,6,4c,44,200,3600,5f
22,00:00:22,0e1c,0,1,00d3,67,0d00,5a,57,6,4c,44,200,3600,5f
23,00:00:23,0.00E+00,0,1,00d1,67,0d00,5a,57,6,4c,44,200,3600,5f
23,00:00:23,0.00E+00,0,1,00ce,60,0.00E+00,5a,57,6,4c,44,200,3600,5f
24,00:00:24,0e5c,0,1,00cb,60,0.00E+00,5a,57,6,4c,44,200,3700,64
24,00:00:24,0.00E+00,0,1,00c9,64,0d00,5a,57,6,4c,44,200,3700,64
25,00:00:25,0e4c,0,1,00c7,64,0d00,5a,57,6,4d,44,200,3600,62
25,00:00:25,0.00E+00,0,1,00c7,61,0dd4,5a,57,6,4d,44,02ad,36f5,62
26,00:00:26,0.00E+00,0,1,00c9,61,0dd4,5a,57,6,4d,44,02b0,36de,61
26,00:00:26,0.00E+00,0,1,00c7,61,0de8,5a,57,6,4d,44,02b0,36de,61
27,00:00:27,0.00E+00,0,1,00c7,61,0de8,5a,57,6,4d,44,029f,3704,62
27,00:00:27,0.00E+00,0,1,00c8,62,0.00E+00,5a,57,6,4d,44,029f,3704,62
28,00:00:28,0.00E+00,0,5,00c7,62,0.00E+00,5a,57,6,4d,44,02ae,36cc,63
28,00:00:28,0.00E+00,0,5,00c9,63,0d70,5a,57,6,4d,44,02ae,36cc,63
29,00:00:29,0dfc,0,5,00ce,63,0d70,5a,57,6,4d,44,02a4,36aa,62
29,00:00:29,0.00E+00,0,5,00cd,64,0.00E+00,5a,57,6,4d,44,02a4,36aa,62
30,00:00:30,0da8,0,1,00b7,64,0.00E+00,5a,57,6,4d,44,027d,36d0,64
30,00:00:30,0dd0,0,5,00d1,6b,0d84,5a,57,6,4d,44,027d,36d0,64
31,00:00:31,0de0,0,1,00d9,6b,0d84,5a,57,6,4d,44,02c1,36e8,5f
31,00:00:31,0.00E+00,0,1,00c9,61,0dc0,5a,57,6,4d,44,02c1,36e8,5f
32,00:00:32,0cd4,0,1,010e,61,0dc0,5a,57,6,4d,44,2e05,3714,5d
32,00:00:32,0f50,0,1,0.00E+00,65,0.00E+00,5a,57,7,4d,44,200,3700,5d
33,00:00:33,0eec,0,1,00cd,65,0.00E+00,5a,57,7,4d,44,200,3600,5f
33,00:00:33,0dbc,0,1,00cc,69,0d00,5a,57,6,4d,44,200,3600,5f
34,00:00:34,0e3c,0,5,00d0,69,0d00,5a,57,6,4e,44,200,3600,65
34,00:00:34,0.00E+00,0,5,00d2,67,0.00E+00,5a,57,7,4e,44,200,3600,65
35,00:00:35,0e4c,0,5,00d0,67,0.00E+00,5a,57,7,4e,44,200,3600,62
35,00:00:35,0.00E+00,0,5,00d0,64,0d00,5a,57,6,4e,44,200,3600,62
36,00:00:36,0.00E+00,0,5,00cf,64,0d00,5a,57,6,4e,44,200,3600,61
36,00:00:36,0.00E+00,0,5,00cf,66,0d00,5a,57,6,4e,44,200,3600,61
37,00:00:37,0dec,0,5,00d4,66,0d00,5a,57,6,4e,44,200,3600,5e
37,00:00:37,0eb0,0,1,00d3,62,0d00,5a,57,6,4e,44,200,3600,5e
38,00:00:38,0e7c,0,1,00c7,62,0d00,5a,57,6,4e,44,200,3600,65
38,00:00:38,0.00E+00,0,5,00c9,64,0d00,5a,57,6,4e,44,200,3600,65
39,00:00:39,0.00E+00,0,5,00c9,64,0d00,5a,57,6,4e,44,200,3600,5f
39,00:00:39,0e3c,0,1,00c9,61,0dac,5a,57,7,4e,44,287,36bb,5f
40,00:00:40,0.00E+00,0,1,00c8,61,0dac,5a,57,7,4e,44,02b9,36e1,63
40,00:00:40,0.00E+00,0,1,00c6,60,0dd4,5a,57,6,4e,44,02b9,36e1,63
41,00:00:41,0.00E+00,0,1,00c5,60,0dd4,5a,57,6,4e,44,029d,36e4,63
41,00:00:41,0.00E+00,0,1,00c6,61,0dac,5a,57,5,4e,44,029d,36e4,63
42,00:00:42,0e3c,0,1,00c7,61,0dac,5a,57,5,4e,44,02a1,370e,62
42,00:00:42,0e2c,0,1,00c6,61,0dd4,5a,57,4,4e,44,02a1,370e,62
43,00:00:43,0e3c,0,1,00c6,61,0dd4,5a,57,4,4e,44,02a8,36dc,67
43,00:00:43,0e2c,0,1,00c5,60,0de8,5a,57,4,4e,44,02a8,36dc,67
44,00:00:44,0da4,0,1,00cc,60,0de8,5a,57,4,4e,44,271,3706,58
44,00:00:44,0e0c,0,1,00ea,72,0d98,5a,57,4,4e,44,271,3706,58
45,00:00:45,0.00E+00,0,1,00ea,72,0d98,5a,57,4,4e,44,02dc,370a,63
45,00:00:45,0.00E+00,0,1,00ea,71,0de8,5a,57,5,4e,44,02dc,370a,63
46,00:00:46,0e2c,0,1,00eb,71,0de8,5a,57,5,4e,45,02ba,3702,62
46,00:00:46,0ec0,0,1,0.00E+00,69,0d00,5a,57,6,4e,45,200,3700,62
47,00:00:47,0ef8,0,5,00d1,69,0d00,5a,57,6,4f,44,200,3600,65
