Time (GMT),Time,Latitude,Longitude,RPM,TPS,Brake,Fuel Flow Rate,Engine Load,Rail Pressure,MAP,Baro,Speed,ECT,IAT,MAF,BAT Volt,EGR,,
235944,23:59:44,,,0.00E+00,0,1,010c,92,0de8,59,57,0,3f,3b,341,32bc,4b,,
235944,23:59:44,,,0d10,0,1,010b,a5,0e9c,59,57,0,3f,3b,341,32bc,4b,,
235945,23:59:45,,,0.00E+00,0,1,010b,a5,0e9c,59,57,0,3f,3c,033f,36dc,5d,,
235945,23:59:45,,,0e2c,0,1,00f8,73,0.00E+00,59,57,0,3f,3c,033f,36dc,5d,,
235946,23:59:46,,,0dc8,0,1,00ea,73,0.00E+00,59,57,0,3f,3d,02d1,37a6,62,,
235946,23:59:46,,,0d74,0,1,00ec,73,0dc0,5a,57,0,3f,3d,02d1,37a6,62,,
235947,23:59:47,,,0d50,0,1,00ea,73,0dc0,5a,57,0,3f,3d,295,37b2,59,,
235947,23:59:47,,,0d38,0,1,113,8f,0dfc,5a,57,0,3f,3d,295,37b2,59,,
235948,23:59:48,,,0d50,0,1,132,8f,0dfc,5a,57,0,3f,3d,343,376a,5a,,
235948,23:59:48,,,0d90,0,1,115,96,0de8,59,57,2,3f,3d,343,376a,5a,,
235949,23:59:49,,,0dec,0,1,116,96,0de8,59,57,2,3f,3e,02f6,37bc,5e,,
235949,23:59:49,,,0dc0,0,5,127,99,0.00E+00,5a,57,3,3f,3e,02f6,37bc,5e,,
235950,23:59:50,,,0efc,0,5,117,99,0.00E+00,5a,57,3,3f,3e,321,37b0,60,,
235950,23:59:50,,,0.00E+00,0,5,109,8c,0.00E+00,5a,57,3,3f,3e,300,3700,60,,
235951,23:59:51,,,0.00E+00,0,5,010f,8c,0.00E+00,5a,57,3,40,3e,300,3700,5b,,
235951,23:59:51,,,0e0c,0,5,102,73,0.00E+00,5a,57,3,40,3e,300,3700,5b,,
235952,23:59:52,,,0e7c,0,5,104,73,0.00E+00,5a,57,3,40,3e,300,3700,5c,,
235952,23:59:52,,,0.00E+00,0,5,108,75,0d00,5a,57,4,40,3e,300,3700,5c,,
235953,23:59:53,,,0e4c,0,5,100,75,0d00,5a,57,4,40,3e,300,3700,5c,,
235953,23:59:53,,,0d7c,0,1,00ef,79,0c00,5a,57,6,40,3e,300,3700,5c,,
235954,23:59:54,,,0f1c,0,5,106,79,0c00,5a,57,6,40,3e,300,3700,5f,,
235954,23:59:54,,,0.00E+00,0,5,0.00E+00,66,0.00E+00,5a,57,6,40,3e,300,3700,5f,,
235955,23:59:55,,,0.00E+00,0,5,0.00E+00,66,0.00E+00,5a,57,6,40,3e,200,3700,5a,,
235955,23:59:55,,,0e3c,0,5,0.00E+00,6d,0d00,5a,57,6,40,3e,200,3700,5a,,
235956,23:59:56,,,0.00E+00,0,5,0.00E+00,6d,0d00,5a,57,6,40,3e,200,3700,5c,,
235956,23:59:56,,,0e7c,0,5,00cd,65,0d00,5a,57,3,40,3e,200,3700,5c,,
235957,23:59:57,,,0.00E+00,0,5,00d3,65,0d00,5a,57,3,40,3e,200,3700,5e,,
235957,23:59:57,,,0db8,0,5,00bc,5d,0cbc,5a,57,1,40,3e,02dc,37f4,5e,,
235958,23:59:58,,,0d70,0,5,00ce,5d,0cbc,5a,57,1,40,3e,029a,3719,5b,,
235958,23:59:58,,,0d4c,0,5,00c8,68,0c44,5a,57,1,40,3e,029a,3719,5b,,
235959,23:59:59,,,0dc4,0,5,00c5,68,0c44,5a,57,1,40,3e,02d1,3701,60,,
235959,23:59:59,,,0cbc,0,5,00c1,69,0cd0,5a,57,0,40,3e,02d1,3701,60,,
0,00:00:00,,,0c9c,0,5,00fb,69,0cd0,5a,57,0,40,3e,2e03,367a,59,,
0,00:00:00,,,0da8,0,1,00f9,75,0.00E+00,5a,57,0,40,3e,2e03,367a,59,,
1,00:00:01,,,0d38,0,5,00fa,75,0.00E+00,5a,57,0,40,3e,02ef,3388,67,,
1,00:00:01,,,0d94,0,5,00ee,7e,0.00E+00,5a,57,1,40,3e,02ef,3388,67,,
2,00:00:02,,,0c78,0,5,120,7e,0.00E+00,5a,57,1,40,3e,02cb,371c,5b,,
2,00:00:02,,,0.00E+00,0,5,00f3,74,0ec4,5a,57,2,40,3e,02cb,371c,5b,,
3,00:00:03,,,0.00E+00,0,5,0.00E+00,74,0ec4,5a,57,2,40,3e,02fb,37d2,5e,,
3,00:00:03,,,0.00E+00,0,1,00be,5b,0.00E+00,5a,57,1,40,3e,02fb,37d2,5e,,
