Time (GMT),Time,Latitude,Longitude,RPM,TPS,Brake,Fuel Flow Rate,Engine Load,Rail Pressure,MAP,Baro,Speed,ECT,IAT,MAF,BAT Volt,EGR,,
4,00:00:04,,,0dbc,0,1,00aa,5b,0.00E+00,5a,57,1,40,3e,02b7,379a,5f,,
4,00:00:04,,,0d78,0,1,00b2,62,0c00,5a,57,0,40,3e,200,3700,5f,,
5,00:00:05,,,0d48,0,1,00b5,62,0c00,5a,57,0,41,3e,200,3600,59,,
5,00:00:05,,,0cdc,0,1,00d1,76,0b00,5a,57,0,41,3e,200,3600,59,,
6,00:00:06,,,0.00E+00,0,5,00ce,76,0b00,5a,57,0,41,3e,200,3300,67,,
6,00:00:06,,,0d20,0,1,00cd,6e,0b00,5a,57,2,41,3e,200,3300,67,,
7,00:00:07,,,0d9c,0,1,104,6e,0b00,5a,57,2,41,3e,200,3700,59,,
7,00:00:07,,,0dc8,0,1,100,79,0.00E+00,5a,57,5,41,3e,200,3700,59,,
8,00:00:08,,,0d9c,0,1,011b,79,0.00E+00,5a,57,5,41,3e,200,3800,5c,,
8,00:00:08,,,0fa4,0,1,00f6,6b,0f00,59,57,7,41,3e,200,3800,5c,,
51938,05:19:38,,,12f8,10,2,174,6b,0f00,59,57,7,41,3e,400,3800,5b,,
51939,05:19:39,,,13c4,11,2,134,56,1300,59,57,0a,41,3e,400,3800,5b,,
51939,05:19:39,,,1640,11,2,195,56,1300,59,57,0a,41,40,400,3800,60,,
51940,05:19:40,,,1814,11,2,194,55,1500,59,57,0b,41,40,400,3800,60,,
51940,05:19:40,,,19ac,11,2,01aa,55,1500,59,57,0b,41,40,500,3800,58,,
51941,05:19:41,,,1b80,1d,2,01d5,4e,1860,5a,57,0d,41,40,05b7,384c,58,,
51941,05:19:41,,,1d7c,1d,2,022a,4e,1860,5a,57,0d,41,41,079f,385e,59,,
51942,05:19:42,,,1fc8,15,2,234,49,1b08,61,57,0f,41,41,079f,385e,59,,
51942,05:19:42,,,2120,15,2,022a,49,1b08,61,57,0f,42,42,085c,383e,60,,
51943,05:19:43,,,21ac,14,2,021b,43,19a0,64,57,0f,42,42,085c,383e,60,,
51943,05:19:43,,,213c,11,2,01f7,43,19a0,64,57,0f,42,42,07bf,3861,62,,
51944,05:19:44,,,211c,0c,2,01cc,3c,1860,62,57,0e,42,42,07bf,3861,62,,
51944,05:19:44,,,1fbc,6,2,145,3c,1860,62,57,0e,42,41,661,385f,57,,
51945,05:19:45,,,1cd8,3,2,00b0,1c,1248,5c,57,0b,42,41,661,385f,57,,
51945,05:19:45,,,18d8,0b,2,57,1c,1248,5c,57,0b,42,41,04fd,387e,61,,
51946,05:19:46,,,1624,10,2,00c9,32,12c0,5b,57,9,42,41,04fd,387e,61,,
51946,05:19:46,,,1558,0f,2,100,32,12c0,5b,57,9,42,3f,468,385b,64,,
51947,05:19:47,,,146c,1,2,0.00E+00,3d,120c,5a,57,9,42,3f,468,385b,64,,
51947,05:19:47,,,1318,0,1,00a8,3d,120c,5a,57,9,42,3f,043a,3840,64,,
51948,05:19:48,,,1144,0,1,89,34,0f00,5a,57,7,42,3f,400,3800,64,,
51948,05:19:48,,,0fcc,0,1,009f,34,0f00,5a,57,7,43,3e,200,3800,5a,,
51949,05:19:49,,,0f3c,0,1,00a8,4b,0d00,5a,57,6,43,3e,200,3800,5a,,
51949,05:19:49,,,0ee8,0,1,00a5,4b,0d00,5a,57,6,43,3d,200,3800,58,,
51950,05:19:50,,,0e9c,0,1,009e,4c,0d00,5a,57,6,43,3d,200,3800,58,,
51950,05:19:50,,,0de4,0,1,00ac,4c,0d00,5a,57,6,43,3d,200,3700,57,,
51951,05:19:51,,,0de4,0,1,00b0,5a,0c00,5a,57,6,43,3d,200,3700,57,,
51951,05:19:51,,,0d1c,0,1,00bb,5a,0c00,5a,57,6,43,3d,200,3700,5,,
51952,05:19:52,,,0.00E+00,0,1,111,84,0f00,5a,57,6,43,3d,200,3700,5,,
51952,05:19:52,,,0ef0,0,1,00f2,84,0f00,5a,57,6,43,3d,300,3800,64,,
51953,05:19:53,,,0eac,0,1,00c9,5c,0.00E+00,5a,57,6,43,3d,300,3800,64,,
51953,05:19:53,,,0d9c,0,1,00d2,5c,0.00E+00,5a,57,6,43,3e,200,3800,54,,
51954,05:19:54,,,0d68,0,1,0.00E+00,7a,0c00,5a,57,7,43,3e,200,3800,54,,
51954,05:19:54,,,0f50,0e,2,0.00E+00,7a,0c00,5a,57,7,43,3d,300,3800,31,,
51955,05:19:55,,,10d8,0e,2,103,62,1e01,59,57,8,43,3d,03db,3853,31,,
51955,05:19:55,,,1268,11,2,00f5,62,1e01,59,57,8,43,3f,04a1,386b,3f,,
51956,05:19:56,,,148c,26,2,150,58,1360,59,57,9,43,3f,04a1,386b,3f,,
51956,05:19:56,,,16a0,12,2,01ab,58,1360,59,57,9,44,40,5e08,3864,54,,
51957,05:19:57,,,1978,16,2,01ce,56,17fc,5b,57,0c,44,40,5e08,3864,54,,
51957,05:19:57,,,1c08,17,2,1e08,56,17fc,5b,57,0c,44,41,074f,3864,5e,,
51958,05:19:58,,,1e84,17,2,207,48,1950,61,57,0e,44,41,074f,3864,5e,,
51958,05:19:58,,,2048,17,2,213,48,1950,61,57,0e,44,42,07cb,386d,58,,
51959,05:19:59,,,2154,3f,2,279,4b,1bf8,63,57,0f,44,42,07cb,386d,58,,
51959,05:19:59,,,2380,31,2,032a,4b,1bf8,63,57,0f,44,42,0a8a,385e,60,,
52000,05:20:00,,,1f6c,0,1,00cc,1e,17e8,67,57,10,44,42,0a8a,385e,60,,
52000,05:20:00,,,144c,0,1,47,1e,17e8,67,57,10,44,43,03be,3860,64,,
52001,05:20:01,,,1144,7,2,00df,55,0fa0,5c,57,11,44,43,03be,3860,64,,
52001,05:20:01,,,149c,12,2,196,55,0fa0,5c,57,11,44,3d,476,3867,5c,,
52002,05:20:02,,,1618,14,2,177,5a,1400,5b,57,12,44,3d,400,3800,5c,,
52002,05:20:02,,,16a4,14,2,181,5a,1400,5b,57,12,44,3f,400,3800,60,,
52003,05:20:03,,,1748,13,2,188,56,1500,5b,57,12,44,3f,400,3800,60,,
52003,05:20:03,,,17d8,13,2,018b,56,1500,5b,57,12,45,3f,400,3800,5c,,
52004,05:20:04,,,185c,14,2,193,52,1600,5b,57,13,45,3f,400,3800,5c,,
52004,05:20:04,,,18e0,13,2,019a,52,1600,5b,57,13,45,3f,500,3800,5d,,
52005,05:20:05,,,1930,14,2,019a,4f,1600,5c,57,14,45,3f,500,3800,5d,,
52005,05:20:05,,,19c8,14,2,01a4,4f,1600,5c,57,14,45,40,500,3800,5c,,
52006,05:20:06,,,19f4,14,2,01a8,4e,1600,5d,57,14,45,40,500,3800,5c,,
52006,05:20:06,,,1a4c,14,2,01a5,4e,1600,5d,57,14,45,40,500,3800,5e,,
52007,05:20:07,,,1a88,14,2,01a7,4b,1600,5e,57,15,45,40,500,3800,5e,,
52007,05:20:07,,,1b34,14,2,01b2,4b,1600,5e,57,15,45,40,600,3800,5d,,
52008,05:20:08,,,1b60,14,2,01b4,49,1700,5e,57,16,45,40,600,3800,5d,,
52008,05:20:08,,,1bb8,0f,2,01b3,49,1700,5e,57,16,45,40,600,3800,5b,,
52009,05:20:09,,,1c50,1e,2,01ea,4c,18c4,60,57,16,45,40,063e,386b,5b,,
52009,05:20:09,,,1be8,11,2,157,4c,18c4,60,57,16,46,40,05cb,385d,54,,
52010,05:20:10,,,1b6c,0,1,22,0,11f8,5c,57,14,46,40,05cb,385d,54,,
52010,05:20:10,,,1980,0,5,51,0,11f8,5c,57,14,46,40,609,383a,58,,
52011,05:20:11,,,17d8,0,5,25,0b,1144,5b,57,11,46,40,609,383a,58,,
52011,05:20:11,,,1608,0,5,0,0b,1144,5b,57,11,46,40,504,385b,5f,,
52012,05:20:12,,,13ec,0,5,0,0,1054,5a,57,0e,46,40,504,385b,5f,,
52012,05:20:12,,,1238,0,1,35,0,1054,5a,57,0e,46,3f,03ad,3847,66,,
52013,05:20:13,,,1104,9,2,007d,31,0eec,5a,57,0e,46,3f,03ad,3847,66,,
52013,05:20:13,,,108c,21,2,016a,31,0eec,5a,57,0e,46,3d,042d,386b,31,,
52014,05:20:14,,,1238,24,2,01c5,8b,161c,5a,57,0f,46,3d,042d,386b,31,,
52014,05:20:14,,,1394,24,2,187,8b,161c,5a,57,0f,46,3e,507,3883,3a,,
52015,05:20:15,,,14c4,29,2,01d0,79,1810,5b,57,11,46,3e,507,3883,3a,,
52015,05:20:15,,,1650,29,2,217,79,1810,5b,57,11,47,3f,05ef,389f,45,,
52016,05:20:16,,,17dc,29,2,247,77,1c00,5f,57,14,47,3f,500,3800,45,,
52016,05:20:16,,,1968,24,2,261,77,1c00,5f,57,14,47,40,700,3800,54,,
52017,05:20:17,,,1afc,1a,2,020f,59,1900,63,57,15,47,40,700,3800,54,,
52017,05:20:17,,,1b1c,10,2,199,59,1900,63,57,15,47,41,600,3800,55,,
52018,05:20:18,,,1acc,26,2,3,0,1200,5e,57,14,47,41,600,3800,55,,
52018,05:20:18,,,1a48,3b,2,190,0,1200,5e,57,14,47,40,600,3800,4f,,
52019,05:20:19,,,1990,38,2,243,6b,1900,61,57,14,47,40,600,3800,4f,,
52019,05:20:19,,,1a88,35,2,297,6b,1900,61,57,14,47,40,700,3800,51,,
52020,05:20:20,,,1c88,35,2,02eb,71,2100,68,57,17,47,40,700,3800,51,,
52020,05:20:20,,,1e40,35,2,318,71,2100,68,57,17,47,41,900,3800,57,,
52021,05:20:21,,,1fbc,34,2,033c,6a,2300,72,57,19,47,41,900,3800,57,,
52021,05:20:21,,,1f20,0,1,00f7,6a,2300,72,57,19,48,41,700,3800,5d,,
52022,05:20:22,,,16c4,0,1,006a,19,1200,64,57,18,48,41,700,3800,5d,,
52022,05:20:22,,,0fb4,0,1,79,19,1200,64,57,18,48,3f,200,3800,5e,,
52023,05:20:23,,,0fc8,0,1,006a,30,0d34,5b,57,16,48,3f,274,386d,5e,,
52023,05:20:23,,,0ec0,0,1,006e,30,0d34,5b,57,16,48,3c,293,37b5,5b,,
52024,05:20:24,,,0e9c,0,5,006a,36,0b7c,5a,57,13,48,3c,293,37b5,5b,,
52024,05:20:24,,,0.00E+00,0,5,006a,36,0b7c,5a,57,13,48,3c,289,37f8,5f,,
52025,05:20:25,,,0.00E+00,0,5,66,34,0bf4,5a,57,10,48,3c,289,37f8,5f,,
52025,05:20:25,,,0cf8,0,5,008b,34,0bf4,5a,57,10,48,3d,024d,37bf,56,,
52026,05:20:26,1257.0878,7738.7768,0cc0,0,5,00c9,75,0b7c,5a,57,0e,48,3d,024d,37bf,56,,
52026,05:20:26,1257.0881,7738.7773,0d14,0,5,00c3,75,0b7c,5a,57,0e,48,3c,02a9,3818,62,,
52027,05:20:27,1257.0885,7738.7776,0df0,0,1,00c8,65,0d20,5a,57,0c,48,3c,02a9,3818,62,,
52027,05:20:27,1257.0887,7738.7776,0d5c,0,1,00cd,65,0d20,5a,57,0c,49,3d,263,3828,54,,
52028,05:20:28,1257.0891,7738.7772,0dfc,0,1,00cd,66,0d70,5a,57,0b,49,3d,263,3828,54,,
52028,05:20:28,1257.0895,7738.7765,1184,1e,2,021a,66,0d70,5a,57,0b,49,3e,043c,3848,31,,
52029,05:20:29,1257.0897,7738.7752,1380,31,2,026d,ac,1600,5b,57,0b,49,3e,400,3800,31,,
52029,05:20:29,1257.0898,7738.7742,1468,10,1,020a,ac,1600,5b,57,0b,49,40,400,3800,45,,
52030,05:20:30,1257.0896,7738.773,13c4,0,1,00bf,34,1100,5b,57,9,49,40,400,3800,45,,
52030,05:20:30,1257.0895,7738.7723,1240,0,1,00c8,34,1100,5b,57,9,49,40,300,3800,68,,
52031,05:20:31,1257.0892,7738.7717,0f70,0d,2,125,7c,0.00E+00,5a,57,8,49,40,300,3800,68,,
52031,05:20:31,1257.0896,7738.7705,11a4,0,1,012d,7c,0.00E+00,5a,57,8,49,3e,300,3800,64,,
52032,05:20:32,1257.0895,7738.7696,123c,0,1,010b,58,1100,5a,57,7,49,3e,300,3800,64,,
52032,05:20:32,1257.0892,7738.7693,1e09,0,5,00fe,58,1100,5a,57,7,49,3e,200,3800,5f,,
52033,05:20:33,1257.0887,7738.7689,0fac,0,5,0.00E+00,5e,0f00,5a,57,6,49,3e,200,3800,5f,,
52033,05:20:33,1257.0884,7738.7685,0.00E+00,0,5,00ce,5e,0f00,5a,57,6,49,3e,200,3800,5a,,
52034,05:20:34,1257.088,7738.7682,0.00E+00,0,1,00cd,62,0d00,5a,57,5,49,3e,200,3800,5a,,
52034,05:20:34,1257.0878,7738.7679,0df4,0,1,00c7,62,0d70,5a,57,5,4a,3e,296,3805,5d,,
52035,05:20:35,1257.0874,7738.7676,0ca8,0,1,00d0,75,0c44,5a,57,6,4a,3e,296,3805,5d,,
52035,05:20:35,1257.087,7738.7674,0cfc,0,1,00ea,75,0c44,5a,57,6,4a,3e,02ae,3830,58,,
52036,05:20:36,1257.0866,7738.7671,0cdc,0,1,102,8f,0.00E+00,5a,57,7,4a,3e,02ae,3830,58,,
52036,05:20:36,1257.0863,7738.767,0ae8,0,1,199,8f,0.00E+00,5a,57,7,4a,3e,239,381e,5,,
52037,05:20:37,1257.086,7738.7667,0b48,2,2,01bb,ff,120c,5a,57,0a,4a,3e,239,381e,5,,
52037,05:20:37,1257.0859,7738.7662,0cd8,9,2,218,ff,120c,5a,57,0a,4a,3e,316,382e,5,,
52038,05:20:38,1257.0859,7738.765,0.00E+00,20,2,217,e1,1414,5a,57,0c,4a,3e,316,382e,5,,
52038,05:20:38,1257.0857,7738.7644,0ffc,2b,2,021b,e1,1414,5a,57,0c,4a,3f,03db,384d,5,,
52039,05:20:39,1257.0853,7738.7635,1198,3b,2,023c,ba,17c0,5b,57,0f,4a,3f,03db,384d,5,,
52039,05:20:39,1257.085,7738.7628,1334,3b,2,255,ba,17c0,5b,57,0f,4a,40,04bf,387f,32,,
52040,05:20:40,1257.0849,7738.7612,1434,3b,2,020c,8b,1900,5c,57,10,4a,40,400,3800,32,,
52040,05:20:40,1257.0846,7738.7602,150c,3a,2,022c,8b,1900,5c,57,10,4a,41,500,3800,33,,
52041,05:20:41,1257.0842,7738.7588,1670,3e,2,026b,8e,1e00,5f,57,12,4a,41,500,3800,33,,
52041,05:20:41,1257.0841,7738.7577,176c,3b,2,273,8e,1e00,5f,57,12,4a,41,600,3800,38,,
52042,05:20:42,1257.0839,7738.7556,1920,3d,2,02b8,86,2100,64,57,14,4a,41,600,3800,38,,
52042,05:20:42,1257.0837,7738.7544,1aa4,3b,2,02ce,86,2100,64,57,14,4b,41,700,3800,3e,,
52043,05:20:43,1257.0835,7738.7524,1c14,3e,2,02ef,77,2200,6b,57,17,4b,41,700,3800,3e,,
52043,05:20:43,1257.0833,7738.7511,1dd4,5d,2,03cb,77,2200,6b,57,17,4b,42,900,3800,41,,
52044,05:20:44,1257.0833,7738.7484,1f8c,3c,2,035c,6f,2400,77,57,19,4b,42,900,3800,41,,
52044,05:20:44,1257.0832,7738.7468,20d8,3d,2,035a,6f,2400,77,57,19,4b,44,0a00,3800,54,,
52045,05:20:45,1257.0831,7738.7445,1d68,0,1,00a1,1a,1900,70,57,19,4b,44,0a00,3800,54,,
52045,05:20:45,1257.0829,7738.743,140c,11,2,00f2,1a,1928,70,57,19,4b,43,04c1,3862,5e,,
52046,05:20:46,1257.0825,7738.7411,1460,37,2,01d6,7d,152c,61,57,19,4b,43,04c1,3862,5e,,
52046,05:20:46,1257.0823,7738.7396,14f0,3a,2,218,7d,152c,61,57,19,4b,3f,529,3856,57,,
52047,05:20:47,1257.082,7738.7374,1554,31,2,222,87,1ab8,60,57,1a,4b,3f,529,3856,57,,
52047,05:20:47,1257.0817,7738.7359,15a8,32,2,217,87,1ab8,60,57,1a,4b,3f,562,3850,5e,,
52048,05:20:48,1257.0814,7738.7335,15ec,3a,2,021d,80,1acc,60,57,1b,4b,3f,562,3850,5e,,
52048,05:20:48,1257.0812,7738.7318,165c,3c,2,247,80,1acc,60,57,1b,4c,40,05a7,3861,5c,,
52049,05:20:49,1257.0808,7738.7293,1710,3c,2,025d,85,1d24,62,57,1c,4c,40,05a7,3861,5c,,
52049,05:20:49,1257.0809,7738.7275,1788,3c,2,268,85,1d24,62,57,1c,4c,40,609,387d,5d,,
52050,05:20:50,1257.0805,7738.7251,17f4,3c,2,276,82,1e8c,64,57,1e,4c,40,609,387d,5d,,
52050,05:20:50,1257.0809,7738.7227,18a0,3b,2,028c,82,1e8c,64,57,1e,4c,40,663,3885,5e,,
52051,05:20:51,1257.0814,7738.7193,1898,8,2,016b,5f,1a00,65,57,1e,4c,40,600,3800,5e,,
52051,05:20:51,1257.0808,7738.7179,1888,0a,2,00a2,5f,1a00,65,57,1e,4c,40,400,3800,5c,,
52052,05:20:52,1257.08,7738.7158,177c,1d,2,015c,4d,1400,5d,57,1d,4c,40,400,3800,5c,,
52052,05:20:52,1257.0798,7738.7139,1720,0,1,136,4d,1400,5d,57,1d,4d,3f,400,3800,55,,
52053,05:20:53,1257.0794,7738.7115,16a0,0,1,0,0,1000,5b,57,1a,4d,3f,400,3800,55,,
52053,05:20:53,1257.0789,7738.7102,1528,0,1,0,0,1000,5b,57,1a,4d,40,400,3800,56,,
52054,05:20:54,1257.0779,7738.7086,140c,0,1,0,0,0f00,5b,57,18,4d,40,400,3800,56,,
52054,05:20:54,1257.0777,7738.707,1318,0,5,001a,0,0f00,5b,57,18,4d,3f,400,3800,69,,
52055,05:20:55,1257.0776,7738.7047,1134,0,5,97,37,0f00,5b,57,13,4d,3f,400,3800,69,,
52055,05:20:55,1257.0774,7738.7034,0f2c,0,5,008e,37,0f00,5b,57,13,4d,3e,200,3800,62,,
52056,05:20:56,1257.0771,7738.7018,0.00E+00,0,5,90,46,0c00,5a,57,0a,4d,3e,200,3800,62,,
52056,05:20:56,1257.0771,7738.7012,0de4,0,5,85,46,0ce4,5a,57,0a,4d,3d,245,380b,5a,,
52057,05:20:57,1257.0772,7738.7002,0d94,0,5,008a,4b,0b90,5a,57,3,4d,3d,245,380b,5a,,
52057,05:20:57,1257.0773,7738.6994,0d88,0,5,008a,4b,0b90,5a,57,3,4e,3d,256,37fc,5e,,
52058,05:20:58,1257.0777,7738.6987,0ce8,0,5,007e,4c,0b68,5a,57,1,4e,3d,256,37fc,5e,,
52058,05:20:58,,257.0777,,7738.6987,0d1c,0,1,007f,4c,0b68,5a,57,1,4e,3d,023e,37e2,62
52059,05:20:59,1257.0782,7738.6973,0ba8,0,1,91,59,0b54,5a,57,1,4e,3d,023e,37e2,62,,
52059,05:20:59,1257.0783,7738.6967,0be0,0,1,0.00E+00,59,0b54,5a,57,1,4e,3d,02b7,37fc,38,,
52100,05:21:00,1257.0785,7738.6961,0d08,0,1,010f,92,0dac,5a,57,4,4e,3d,02b7,37fc,38,,
52100,05:21:00,1257.0785,7738.6957,0cd0,0,1,105,92,0dac,5a,57,4,4e,3f,02ec,3853,4d,,
52101,05:21:01,1257.0785,7738.6951,0.00E+00,0,1,116,7f,0ec4,5a,57,7,4e,3f,02ec,3853,4d,,
52101,05:21:01,1257.0786,7738.6947,11a0,0b,2,016d,7f,0ec4,5a,57,7,4e,3f,03f8,383f,60,,
52102,05:21:02,1257.0786,7738.6939,1300,28,2,00fa,4d,1200,5a,57,8,4e,3f,300,3800,60,,
52102,05:21:02,,257.0786,,7738.6939,1384,35,2,013c,4d,1200,5a,57,8,4e,3f,400,3800,51
52103,05:21:03,1257.0785,7738.6926,156c,41,2,01b0,6e,1600,5b,57,0a,4e,3f,400,3800,51,,
52103,05:21:03,1257.0785,7738.6924,1870,43,2,223,6e,1600,5b,57,0a,4e,41,600,3800,4d,,
52104,05:21:04,1257.0783,7738.6918,1c74,48,2,300,75,1f00,64,57,0e,4e,41,600,3800,4d,,
52104,05:21:04,1257.0781,7738.6913,20f4,47,2,389,75,1f00,64,57,0e,4e,41,0a00,3800,51,,
52105,05:21:05,1257.0776,7738.6909,2554,48,2,419,76,2700,7e,57,11,4e,41,0a00,3800,51,,
52105,05:21:05,1257.0773,7738.6906,25a4,0,1,00fe,76,2700,7e,57,11,4e,44,0a00,3800,62,,
52106,05:21:06,1257.0768,7738.6889,1c30,0,1,59,0f,1100,6d,57,12,4e,44,0a00,3800,62,,
52106,05:21:06,1257.0763,7738.6883,1704,2a,2,01c5,0f,1100,6d,57,12,4f,42,400,3800,59,,
52107,05:21:07,1257.076,7738.6872,16dc,32,2,214,75,1900,60,57,12,4f,42,400,3800,59,,
52107,05:21:07,1257.0759,7738.686,1854,32,2,235,75,1928,60,57,12,4f,3f,061c,388f,5e,,
52108,05:21:08,1257.0755,7738.6845,196c,2a,2,025c,6f,1dc4,64,57,15,4f,3f,061c,388f,5e,,
52108,05:21:08,1257.0752,7738.6835,1ac4,21,2,025b,6f,1dc4,64,57,15,4f,40,646,3894,63,,
52109,05:21:09,1257.075,7738.6818,1b10,19,2,01bb,4b,1748,63,57,15,4f,40,646,3894,63,,
52109,05:21:09,1257.0747,7738.6807,1b40,16,2,196,4b,1748,63,57,15,4f,41,056d,3899,66,,
52110,05:21:10,1257.0746,7738.6791,1b04,14,2,178,42,15f4,60,57,15,4f,41,056d,3899,66,,
52110,05:21:10,1257.0744,7738.6782,18f4,0,1,35,42,15f4,60,57,15,4f,40,054d,3872,57,,
52111,05:21:11,1257.0745,7738.6772,18a8,0,1,003e,0f,1144,5c,57,12,4f,40,054d,3872,57,,
52111,05:21:11,1257.0745,7738.676,16ac,0,1,000d,0f,1144,5c,57,12,4f,40,056a,387b,5d,,
52112,05:21:12,1257.0742,7738.6745,14d0,0,1,0,0,10cc,5c,57,0f,4f,40,056a,387b,5d,,
52112,05:21:12,1257.074,7738.6738,12e0,0,1,0,0,10cc,5c,57,0f,4f,40,041f,37c9,6f,,
52113,05:21:13,1257.0738,7738.6733,1064,0,5,76,31,0f00,5b,57,0c,4f,40,400,3700,6f,,
52113,05:21:13,1257.0734,7738.673,0.00E+00,0,5,88,31,0f00,5b,57,0c,4f,3e,200,3800,5c,,
52114,05:21:14,1257.0713,7738.6745,0dbc,0,5,87,48,0c00,5a,57,0a,4f,3e,200,3800,5c,,
52114,05:21:14,1257.0695,7738.6761,0d80,0,5,86,48,0c00,5a,57,0a,50,3c,200,3700,5c,,
52115,05:21:15,1257.069,7738.6761,0d40,0,5,88,4c,0b00,5a,57,8,50,3c,200,3700,5c,,
52115,05:21:15,1257.0687,7738.6761,0d84,0,5,88,4c,0b00,5a,57,8,50,3c,200,3700,61,,
52116,05:21:16,1257.0685,7738.676,0d6c,0,5,88,4b,0c00,5a,57,5,50,3c,200,3700,61,,
52116,05:21:16,1257.0682,7738.6761,0d84,0,1,85,4b,0c00,5a,57,5,50,3d,200,3800,64,,
52117,05:21:17,1257.0678,7738.6765,0d88,0,1,82,48,0c00,5a,57,3,50,3d,200,3800,64,,
52117,05:21:17,1257.068,7738.676,0bf0,0,1,00a1,48,0c00,5a,57,3,50,3d,200,3800,58,,
52118,05:21:18,1257.0681,7738.6756,0cd4,0,5,00b4,65,0c00,5a,57,4,50,3d,200,3800,58,,
